Medicine,Stock,ObservedUnits,DailyDemand,CoverageDays,Expiry,DaysToExpiry,ExpiryRisk,StockRisk,ABC,DataSource
Diclofenac,300,0,0.0,,2027-10-10,398,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Domperidone,180,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Doxycycline,220,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Duloxetine,120,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Enalapril,300,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Esomeprazole,150,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
FerrousSulphate,300,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Fluconazole,150,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Fluoxetine,180,0,0.0,,2027-10-20,408,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
FolicAcid,350,0,0.0,,2028-01-15,495,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Furosemide,200,0,0.0,,2027-08-15,342,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Gabapentin,180,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Gentamicin,120,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Glibenclamide,300,0,0.0,,2027-11-20,439,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Gliclazide,250,0,0.0,,2027-12-10,459,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Guaifenesin,220,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Haloperidol,120,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Hydrochlorothiazide,220,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Hydrocortisone,100,0,0.0,,2027-10-30,418,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Hydroxychloroquine,180,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
HyoscineButylbromide,120,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ibuprofen,450,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Imipenem,50,0,0.0,,2027-09-15,373,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
InsulinActrapid,80,0,0.0,,2027-08-31,358,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
InsulinMixtard,80,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ketoconazole,100,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Lactulose,150,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Latanoprost,80,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Levetiracetam,120,0,0.0,,2027-11-01,420,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Levothyroxine,200,0,0.0,,2027-10-25,413,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Linezolid,70,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Lisinopril,250,0,0.0,,2027-12-20,469,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Loperamide,200,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Loratadine,300,0,0.0,,2027-12-20,469,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Lorazepam,80,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Losartan,350,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
MagnesiumOxide,180,0,0.0,,2027-11-01,420,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Mebendazole,220,0,0.0,,2027-10-30,418,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Meloxicam,220,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Meropenem,50,0,0.0,,2027-08-15,342,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Metformin,500,0,0.0,,2028-01-31,511,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Methotrexate,80,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Metronidazole,220,0,0.0,,2028-01-15,495,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Miconazole,180,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Mometasone,100,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Montelukast,120,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Multivitamin,220,0,0.0,,2028-01-01,481,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Naproxen,250,0,0.0,,2027-10-20,408,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Nystatin,150,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Olanzapine,100,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Omeprazole,250,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ondansetron,150,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
ORS,500,0,0.0,,2028-01-31,511,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Pantoprazole,200,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Paracetamol,500,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Phenylephrine,150,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Phenytoin,150,0,0.0,,2027-09-15,373,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
PovidoneIodine,200,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Prednisolone,200,0,0.0,,2027-09-15,373,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Pregabalin,150,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Pseudoephedrine,120,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Quinine,120,0,0.0,,2027-09-15,373,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ranitidine,180,0,0.0,,2027-08-31,358,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Risperidone,120,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Rivaroxaban,80,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Rosuvastatin,180,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Salbutamol,150,0,0.0,,2027-11-10,429,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Sertraline,200,0,0.0,,2027-11-20,439,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Simvastatin,250,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
SodiumValproate,150,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Spironolactone,180,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Sulfasalazine,150,0,0.0,,2027-11-15,434,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Terbinafine,120,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Tetracycline,180,0,0.0,,2027-09-20,378,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Timolol,150,0,0.0,,2027-10-31,419,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Tramadol,120,0,0.0,,2027-11-20,439,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Valsartan,250,0,0.0,,2027-10-20,408,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Vancomycin,60,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Venlafaxine,100,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
VitaminBComplex,300,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
VitaminC,400,0,0.0,,2028-02-28,539,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
VitaminD3,250,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Warfarin,120,0,0.0,,2027-09-01,359,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
ZincSulphate,300,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
