Medicine,ExpiryRisk,StockRisk,OverallRisk,DataSource
Guaifenesin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Haloperidol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Hydrochlorothiazide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Hydrocortisone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Hydroxychloroquine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
HyoscineButylbromide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ibuprofen,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Imipenem,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
InsulinActrapid,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
InsulinMixtard,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ketoconazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Lactulose,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Latanoprost,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Levetiracetam,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Levothyroxine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Linezolid,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Lisinopril,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Loperamide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Loratadine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Lorazepam,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Losartan,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
MagnesiumOxide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Mebendazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Meloxicam,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Meropenem,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Metformin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Methotrexate,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Metronidazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Miconazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Mometasone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Montelukast,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Multivitamin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Naproxen,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Nystatin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Olanzapine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Omeprazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ondansetron,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
ORS,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Pantoprazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Paracetamol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Phenylephrine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Phenytoin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
PovidoneIodine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Prednisolone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Pregabalin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Pseudoephedrine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Quinine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ranitidine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Risperidone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Rivaroxaban,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Rosuvastatin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Salbutamol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Sertraline,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Simvastatin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
SodiumValproate,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Spironolactone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Sulfasalazine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Terbinafine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Tetracycline,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Timolol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Tramadol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Valsartan,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Vancomycin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Venlafaxine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
VitaminBComplex,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
VitaminC,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
VitaminD3,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Warfarin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
ZincSulphate,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
