Medicine,Stock,ObservedUnits,ObservedRevenue,DailyDemand,CoverageDays,ABC,ABCMethod,DataSource,DataStatus
Ciprofloxacin,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Clopidogrel,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Clotrimazole,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Codeine,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Colchicine,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Diazepam,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Diclofenac,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Domperidone,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Doxycycline,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Duloxetine,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Enalapril,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Esomeprazole,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
FerrousSulphate,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Fluconazole,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Fluoxetine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
FolicAcid,350,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Furosemide,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Gabapentin,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Gentamicin,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Glibenclamide,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Gliclazide,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Guaifenesin,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Haloperidol,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Hydrochlorothiazide,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Hydrocortisone,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Hydroxychloroquine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
HyoscineButylbromide,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ibuprofen,450,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Imipenem,50,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
InsulinActrapid,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
InsulinMixtard,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ketoconazole,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Lactulose,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Latanoprost,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Levetiracetam,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Levothyroxine,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Linezolid,70,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Lisinopril,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Loperamide,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Loratadine,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Lorazepam,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Losartan,350,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
MagnesiumOxide,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Mebendazole,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Meloxicam,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Meropenem,50,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Metformin,500,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Methotrexate,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Metronidazole,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Miconazole,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Mometasone,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Montelukast,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Multivitamin,220,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Naproxen,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Nystatin,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Olanzapine,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Omeprazole,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ondansetron,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
ORS,500,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Pantoprazole,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Paracetamol,500,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Phenylephrine,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Phenytoin,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
PovidoneIodine,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Prednisolone,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Pregabalin,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Pseudoephedrine,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Quinine,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ranitidine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Risperidone,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Rivaroxaban,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Rosuvastatin,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Salbutamol,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Sertraline,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Simvastatin,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
SodiumValproate,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Spironolactone,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Sulfasalazine,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Terbinafine,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Tetracycline,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Timolol,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Tramadol,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Valsartan,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Vancomycin,60,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Venlafaxine,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
VitaminBComplex,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
VitaminC,400,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
VitaminD3,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Warfarin,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
ZincSulphate,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
