DrugID,Method,Observations,MAE,RMSE,Bias,DataSource,DataStatus
D0013,WEIGHTED_MOVING_AVERAGE,270,0.4034,0.4889,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0013,TREND,270,0.4018,0.5059,0.0164,SIMULATED_REEM_V2,DEVELOPMENT
D0014,NAIVE,270,0.5778,0.8165,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0014,MOVING_AVERAGE,270,0.5217,0.6477,0.0063,SIMULATED_REEM_V2,DEVELOPMENT
D0014,WEIGHTED_MOVING_AVERAGE,270,0.5222,0.6561,0.0045,SIMULATED_REEM_V2,DEVELOPMENT
D0014,TREND,270,0.552,0.6915,0.004,SIMULATED_REEM_V2,DEVELOPMENT
D0015,NAIVE,270,0.4593,0.6777,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0015,MOVING_AVERAGE,270,0.4561,0.5075,0.0042,SIMULATED_REEM_V2,DEVELOPMENT
D0015,WEIGHTED_MOVING_AVERAGE,270,0.4612,0.5202,0.0025,SIMULATED_REEM_V2,DEVELOPMENT
D0015,TREND,270,0.4748,0.5465,0.0069,SIMULATED_REEM_V2,DEVELOPMENT
D0016,NAIVE,270,1.537,1.9673,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0016,MOVING_AVERAGE,270,1.2217,1.5433,0.0175,SIMULATED_REEM_V2,DEVELOPMENT
D0016,WEIGHTED_MOVING_AVERAGE,270,1.2483,1.565,0.0112,SIMULATED_REEM_V2,DEVELOPMENT
D0016,TREND,270,1.3006,1.6419,0.0042,SIMULATED_REEM_V2,DEVELOPMENT
D0017,NAIVE,270,0.4296,0.6939,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0017,MOVING_AVERAGE,270,0.4005,0.5369,0.0069,SIMULATED_REEM_V2,DEVELOPMENT
D0017,WEIGHTED_MOVING_AVERAGE,270,0.4065,0.5433,0.0046,SIMULATED_REEM_V2,DEVELOPMENT
D0017,TREND,270,0.4357,0.5791,0.0007,SIMULATED_REEM_V2,DEVELOPMENT
D0018,NAIVE,270,2.9222,3.7372,0.0481,SIMULATED_REEM_V2,DEVELOPMENT
D0018,MOVING_AVERAGE,270,2.1825,2.7914,0.0735,SIMULATED_REEM_V2,DEVELOPMENT
D0018,WEIGHTED_MOVING_AVERAGE,270,2.2013,2.8573,0.0659,SIMULATED_REEM_V2,DEVELOPMENT
D0018,TREND,270,2.3353,3.0417,0.0484,SIMULATED_REEM_V2,DEVELOPMENT
D0019,NAIVE,269,0.4015,0.6336,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0019,MOVING_AVERAGE,269,0.4105,0.4868,-0.0048,SIMULATED_REEM_V2,DEVELOPMENT
D0019,WEIGHTED_MOVING_AVERAGE,269,0.4056,0.4897,-0.0033,SIMULATED_REEM_V2,DEVELOPMENT
D0019,TREND,269,0.413,0.5108,0.0103,SIMULATED_REEM_V2,DEVELOPMENT
D0020,NAIVE,266,0.2293,0.4789,-0.0038,SIMULATED_REEM_V2,DEVELOPMENT
D0020,MOVING_AVERAGE,266,0.2111,0.347,-0.007,SIMULATED_REEM_V2,DEVELOPMENT
D0020,WEIGHTED_MOVING_AVERAGE,266,0.2159,0.3573,-0.0059,SIMULATED_REEM_V2,DEVELOPMENT
D0020,TREND,266,0.2255,0.3651,0.0112,SIMULATED_REEM_V2,DEVELOPMENT
D0021,NAIVE,270,2.2704,2.9858,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0021,MOVING_AVERAGE,270,1.7053,2.1925,0.0132,SIMULATED_REEM_V2,DEVELOPMENT
D0021,WEIGHTED_MOVING_AVERAGE,270,1.7488,2.2641,0.0078,SIMULATED_REEM_V2,DEVELOPMENT
D0021,TREND,270,1.8394,2.3869,0.0004,SIMULATED_REEM_V2,DEVELOPMENT
D0022,NAIVE,270,0.5111,0.7149,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0022,MOVING_AVERAGE,270,0.4841,0.5246,-0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0022,WEIGHTED_MOVING_AVERAGE,270,0.4868,0.5343,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0022,TREND,270,0.4879,0.5578,-0.0048,SIMULATED_REEM_V2,DEVELOPMENT
D0023,NAIVE,269,0.4647,0.6817,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0023,MOVING_AVERAGE,269,0.4652,0.516,-0.0064,SIMULATED_REEM_V2,DEVELOPMENT
D0023,WEIGHTED_MOVING_AVERAGE,269,0.4685,0.5269,-0.0057,SIMULATED_REEM_V2,DEVELOPMENT
D0023,TREND,269,0.4693,0.5417,0.0009,SIMULATED_REEM_V2,DEVELOPMENT
D0024,NAIVE,270,0.9963,1.3403,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0024,MOVING_AVERAGE,270,0.7693,0.9791,-0.0053,SIMULATED_REEM_V2,DEVELOPMENT
D0024,WEIGHTED_MOVING_AVERAGE,270,0.7806,0.9967,-0.0052,SIMULATED_REEM_V2,DEVELOPMENT
D0024,TREND,270,0.8347,1.0625,-0.0081,SIMULATED_REEM_V2,DEVELOPMENT
D0025,NAIVE,269,0.3606,0.6005,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0025,MOVING_AVERAGE,269,0.3723,0.4657,-0.0058,SIMULATED_REEM_V2,DEVELOPMENT
D0025,WEIGHTED_MOVING_AVERAGE,269,0.3691,0.4696,-0.005,SIMULATED_REEM_V2,DEVELOPMENT
D0025,TREND,269,0.3885,0.5,0.0123,SIMULATED_REEM_V2,DEVELOPMENT
D0026,NAIVE,269,0.5056,0.711,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0026,MOVING_AVERAGE,269,0.4827,0.5233,0.0058,SIMULATED_REEM_V2,DEVELOPMENT
D0026,WEIGHTED_MOVING_AVERAGE,269,0.4888,0.5365,0.0045,SIMULATED_REEM_V2,DEVELOPMENT
D0026,TREND,269,0.4823,0.5567,0.004,SIMULATED_REEM_V2,DEVELOPMENT
D0027,NAIVE,270,2.4741,3.3244,0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0027,MOVING_AVERAGE,270,1.9397,2.5148,0.0434,SIMULATED_REEM_V2,DEVELOPMENT
D0027,WEIGHTED_MOVING_AVERAGE,270,1.9829,2.5549,0.0372,SIMULATED_REEM_V2,DEVELOPMENT
D0027,TREND,270,2.1021,2.7012,0.0265,SIMULATED_REEM_V2,DEVELOPMENT
D0028,NAIVE,269,0.3829,0.6188,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0028,MOVING_AVERAGE,269,0.436,0.5074,-0.0027,SIMULATED_REEM_V2,DEVELOPMENT
D0028,WEIGHTED_MOVING_AVERAGE,269,0.4229,0.5034,-0.0023,SIMULATED_REEM_V2,DEVELOPMENT
D0028,TREND,269,0.4277,0.5275,0.0212,SIMULATED_REEM_V2,DEVELOPMENT
D0029,NAIVE,270,1.2741,1.7062,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0029,MOVING_AVERAGE,270,1.1138,1.4249,0.0069,SIMULATED_REEM_V2,DEVELOPMENT
D0029,WEIGHTED_MOVING_AVERAGE,270,1.1205,1.421,0.0062,SIMULATED_REEM_V2,DEVELOPMENT
D0029,TREND,270,1.2266,1.5368,0.0062,SIMULATED_REEM_V2,DEVELOPMENT
D0030,NAIVE,270,0.3037,0.5644,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0030,MOVING_AVERAGE,270,0.2714,0.4214,0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0030,WEIGHTED_MOVING_AVERAGE,270,0.2833,0.4344,0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0030,TREND,270,0.3173,0.4554,0.0007,SIMULATED_REEM_V2,DEVELOPMENT
D0031,NAIVE,269,0.5204,0.7214,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0031,MOVING_AVERAGE,269,0.47,0.514,0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0031,WEIGHTED_MOVING_AVERAGE,269,0.4773,0.5276,0.0001,SIMULATED_REEM_V2,DEVELOPMENT
D0031,TREND,269,0.4766,0.5488,0.0041,SIMULATED_REEM_V2,DEVELOPMENT
D0032,NAIVE,270,0.8222,1.1089,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0032,MOVING_AVERAGE,270,0.7217,0.899,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0032,WEIGHTED_MOVING_AVERAGE,270,0.761,0.9351,-0.0025,SIMULATED_REEM_V2,DEVELOPMENT
D0032,TREND,270,0.8037,1.0012,-0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0033,NAIVE,269,0.4758,0.6898,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0033,MOVING_AVERAGE,269,0.4594,0.5114,-0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0033,WEIGHTED_MOVING_AVERAGE,269,0.4607,0.5208,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT
D0033,TREND,269,0.4649,0.5436,0.0004,SIMULATED_REEM_V2,DEVELOPMENT
D0034,NAIVE,270,0.7444,1.0092,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0034,MOVING_AVERAGE,270,0.6085,0.7507,0.0148,SIMULATED_REEM_V2,DEVELOPMENT
D0034,WEIGHTED_MOVING_AVERAGE,270,0.619,0.7638,0.0111,SIMULATED_REEM_V2,DEVELOPMENT
D0034,TREND,270,0.6396,0.8026,0.0094,SIMULATED_REEM_V2,DEVELOPMENT
D0035,NAIVE,270,1.8741,2.4465,-0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0035,MOVING_AVERAGE,270,1.4106,1.8214,0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0035,WEIGHTED_MOVING_AVERAGE,270,1.4466,1.848,0.0013,SIMULATED_REEM_V2,DEVELOPMENT
D0035,TREND,270,1.539,1.9849,-0.0056,SIMULATED_REEM_V2,DEVELOPMENT
D0036,NAIVE,268,0.2351,0.4848,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0036,MOVING_AVERAGE,268,0.2377,0.3667,-0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0036,WEIGHTED_MOVING_AVERAGE,268,0.242,0.3788,-0.0035,SIMULATED_REEM_V2,DEVELOPMENT
D0036,TREND,268,0.2507,0.3866,0.0127,SIMULATED_REEM_V2,DEVELOPMENT
D0037,NAIVE,270,0.3037,0.5511,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0037,MOVING_AVERAGE,270,0.2984,0.4148,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0037,WEIGHTED_MOVING_AVERAGE,270,0.2985,0.4197,-0.0007,SIMULATED_REEM_V2,DEVELOPMENT
D0037,TREND,270,0.3287,0.4467,0.0005,SIMULATED_REEM_V2,DEVELOPMENT
D0038,NAIVE,270,0.663,0.9526,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0038,MOVING_AVERAGE,270,0.6307,0.8178,0.0063,SIMULATED_REEM_V2,DEVELOPMENT
D0038,WEIGHTED_MOVING_AVERAGE,270,0.6194,0.8038,0.006,SIMULATED_REEM_V2,DEVELOPMENT
D0038,TREND,270,0.689,0.8841,0.005,SIMULATED_REEM_V2,DEVELOPMENT
D0039,NAIVE,270,0.3185,0.5709,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0039,MOVING_AVERAGE,270,0.2608,0.4181,0.0048,SIMULATED_REEM_V2,DEVELOPMENT
D0039,WEIGHTED_MOVING_AVERAGE,270,0.2697,0.4256,0.0038,SIMULATED_REEM_V2,DEVELOPMENT
D0039,TREND,270,0.299,0.4447,0.0059,SIMULATED_REEM_V2,DEVELOPMENT
D0040,NAIVE,269,0.461,0.6789,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0040,MOVING_AVERAGE,269,0.4721,0.5189,0.0027,SIMULATED_REEM_V2,DEVELOPMENT
D0040,WEIGHTED_MOVING_AVERAGE,269,0.4732,0.5284,0.0029,SIMULATED_REEM_V2,DEVELOPMENT
D0040,TREND,269,0.4716,0.5511,0.0087,SIMULATED_REEM_V2,DEVELOPMENT
D0041,NAIVE,270,0.5704,0.8692,-0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0041,MOVING_AVERAGE,270,0.4995,0.6641,-0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0041,WEIGHTED_MOVING_AVERAGE,270,0.5034,0.6684,-0.0045,SIMULATED_REEM_V2,DEVELOPMENT
D0041,TREND,270,0.5495,0.7123,-0.0083,SIMULATED_REEM_V2,DEVELOPMENT
D0042,NAIVE,270,3.3593,4.4932,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0042,MOVING_AVERAGE,270,2.6032,3.5829,0.0021,SIMULATED_REEM_V2,DEVELOPMENT
D0042,WEIGHTED_MOVING_AVERAGE,270,2.6389,3.6273,0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0042,TREND,270,2.8143,3.8112,0.0018,SIMULATED_REEM_V2,DEVELOPMENT
D0043,NAIVE,270,3.2519,4.2461,-0.0148,SIMULATED_REEM_V2,DEVELOPMENT
D0043,MOVING_AVERAGE,270,2.3677,2.9943,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT
D0043,WEIGHTED_MOVING_AVERAGE,270,2.4669,3.1021,-0.0069,SIMULATED_REEM_V2,DEVELOPMENT
D0043,TREND,270,2.6435,3.3163,-0.0058,SIMULATED_REEM_V2,DEVELOPMENT
D0044,NAIVE,268,0.3993,0.6319,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0044,MOVING_AVERAGE,268,0.4019,0.483,-0.0043,SIMULATED_REEM_V2,DEVELOPMENT
D0044,WEIGHTED_MOVING_AVERAGE,268,0.3989,0.4876,-0.0039,SIMULATED_REEM_V2,DEVELOPMENT
D0044,TREND,268,0.4033,0.5106,0.0107,SIMULATED_REEM_V2,DEVELOPMENT
D0045,NAIVE,269,0.3978,0.6307,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0045,MOVING_AVERAGE,269,0.393,0.4745,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0045,WEIGHTED_MOVING_AVERAGE,269,0.3921,0.4809,-0.002,SIMULATED_REEM_V2,DEVELOPMENT
D0045,TREND,269,0.4019,0.5001,0.011,SIMULATED_REEM_V2,DEVELOPMENT
D0046,NAIVE,270,0.8222,1.0988,0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0046,MOVING_AVERAGE,270,0.6677,0.8525,0.0148,SIMULATED_REEM_V2,DEVELOPMENT
D0046,WEIGHTED_MOVING_AVERAGE,270,0.6896,0.8774,0.0126,SIMULATED_REEM_V2,DEVELOPMENT
D0046,TREND,270,0.7322,0.933,0.0111,SIMULATED_REEM_V2,DEVELOPMENT
D0047,NAIVE,270,0.3037,0.5644,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0047,MOVING_AVERAGE,270,0.2984,0.4445,0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0047,WEIGHTED_MOVING_AVERAGE,270,0.303,0.4484,0.002,SIMULATED_REEM_V2,DEVELOPMENT
D0047,TREND,270,0.3474,0.4785,-0.0025,SIMULATED_REEM_V2,DEVELOPMENT
D0048,NAIVE,270,2.3778,3.0172,0.0074,SIMULATED_REEM_V2,DEVELOPMENT
D0048,MOVING_AVERAGE,270,1.8291,2.25,0.0143,SIMULATED_REEM_V2,DEVELOPMENT
D0048,WEIGHTED_MOVING_AVERAGE,270,1.8536,2.2835,0.0099,SIMULATED_REEM_V2,DEVELOPMENT
D0048,TREND,270,1.9434,2.4151,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT
D0049,NAIVE,270,0.7556,0.9851,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0049,MOVING_AVERAGE,270,0.6455,0.7847,0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0049,WEIGHTED_MOVING_AVERAGE,270,0.6561,0.8057,0.0019,SIMULATED_REEM_V2,DEVELOPMENT
D0049,TREND,270,0.702,0.8568,-0.0061,SIMULATED_REEM_V2,DEVELOPMENT
D0050,NAIVE,270,1.0593,1.4581,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0050,MOVING_AVERAGE,270,0.8841,1.093,0.0079,SIMULATED_REEM_V2,DEVELOPMENT
D0050,WEIGHTED_MOVING_AVERAGE,270,0.9071,1.1195,0.0048,SIMULATED_REEM_V2,DEVELOPMENT
D0050,TREND,270,0.9497,1.189,-0.0019,SIMULATED_REEM_V2,DEVELOPMENT
