BatchID,DrugID,Quantity,ExpiryDate,DaysToExpiry,ExpiryRisk,DataSource,DataStatus,OperationalUse
B000031,D0031,52.0,2024-07-26,-776,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000032,D0032,387.0,2024-12-18,-631,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000033,D0033,85.0,2025-06-11,-456,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000034,D0034,474.0,2023-07-23,-1145,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000035,D0035,429.0,2024-07-14,-788,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000036,D0036,387.0,2023-09-21,-1085,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000037,D0037,155.0,2024-05-18,-845,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000038,D0038,462.0,2024-08-11,-760,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000039,D0039,386.0,2025-01-14,-604,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000040,D0040,326.0,2024-11-19,-660,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000041,D0041,426.0,2025-04-01,-527,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000042,D0042,355.0,2023-10-11,-1065,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000043,D0043,430.0,2024-06-10,-822,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000044,D0044,175.0,2024-01-03,-981,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000045,D0045,135.0,2024-02-18,-935,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000046,D0046,296.0,2024-01-21,-963,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000047,D0047,240.0,2024-01-24,-960,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000048,D0048,282.0,2024-07-31,-771,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000049,D0049,170.0,2025-06-06,-461,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000050,D0050,458.0,2024-08-19,-752,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000051,D0016,389.0,2023-07-19,-1149,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000052,D0018,426.0,2025-01-21,-597,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000053,D0048,414.0,2025-01-26,-592,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000054,D0027,449.0,2024-07-20,-782,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000055,D0042,455.0,2025-01-28,-590,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000056,D0043,455.0,2023-08-02,-1135,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000057,D0006,108.0,2024-02-06,-947,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000058,D0001,400.0,2024-08-02,-769,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000059,D0003,120.0,2023-08-12,-1125,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000060,D0021,426.0,2025-02-15,-572,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000061,D0007,162.0,2026-02-17,-205,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000062,D0009,319.0,2024-02-23,-930,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000063,D0011,279.0,2025-02-23,-564,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000064,D0035,296.0,2025-02-25,-562,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000065,D0046,218.0,2024-08-21,-750,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000066,D0005,290.0,2025-03-02,-557,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000067,D0022,50.0,2023-09-05,-1101,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000068,D0029,257.0,2024-03-08,-916,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000069,D0048,355.0,2025-03-12,-547,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000070,D0018,387.0,2025-03-13,-546,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000071,D0016,389.0,2023-09-14,-1092,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000072,D0006,108.0,2024-03-20,-904,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000073,D0042,455.0,2025-03-21,-538,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000074,D0021,426.0,2025-03-22,-537,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000075,D0049,88.0,2025-03-22,-537,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000076,D0031,41.0,2025-03-23,-536,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000077,D0001,400.0,2024-09-15,-725,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000078,D0003,137.0,2023-09-24,-1082,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000079,D0009,319.0,2024-03-27,-897,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000080,D0027,449.0,2024-09-23,-717,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000081,D0043,455.0,2023-10-05,-1071,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000082,D0007,162.0,2026-04-08,-155,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000083,D0032,178.0,2026-04-09,-154,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000084,D0011,279.0,2025-04-13,-515,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000085,D0005,286.0,2025-04-15,-513,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000086,D0035,296.0,2025-04-18,-510,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000087,D0048,356.0,2025-04-20,-508,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000088,D0046,202.0,2024-10-14,-696,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000089,D0033,50.0,2024-04-27,-866,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000090,D0050,187.0,2024-10-25,-685,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000091,D0029,257.0,2024-05-03,-860,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000092,D0018,426.0,2025-05-04,-494,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000093,D0006,108.0,2024-05-06,-857,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000094,D0016,389.0,2023-11-03,-1042,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000095,D0003,137.0,2023-11-03,-1042,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000096,D0049,88.0,2025-05-09,-489,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000097,D0021,426.0,2025-05-11,-487,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000098,D0009,319.0,2024-05-13,-850,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000099,D0037,52.0,2023-11-11,-1034,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000100,D0042,455.0,2025-05-15,-483,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000101,D0001,400.0,2024-11-08,-671,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000102,D0022,50.0,2023-11-15,-1030,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000103,D0038,155.0,2023-11-15,-1030,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000104,D0043,455.0,2023-11-17,-1028,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000105,D0011,279.0,2025-05-22,-476,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000106,D0027,449.0,2024-11-16,-663,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000107,D0046,218.0,2024-11-17,-662,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000108,D0007,162.0,2026-05-27,-106,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000109,D0005,318.0,2025-05-29,-469,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000110,D0035,296.0,2025-06-04,-463,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000111,D0048,414.0,2025-06-08,-459,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000112,D0050,187.0,2024-12-04,-645,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000113,D0032,178.0,2026-06-14,-88,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000114,D0018,426.0,2025-06-14,-453,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000115,D0006,93.0,2024-06-17,-815,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000116,D0003,137.0,2023-12-15,-1000,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000117,D0029,257.0,2024-06-20,-812,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000118,D0042,455.0,2025-06-23,-444,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000119,D0016,389.0,2023-12-24,-991,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000120,D0021,426.0,2025-06-27,-440,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000121,D0027,449.0,2024-12-24,-625,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000122,D0033,50.0,2024-07-02,-800,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000123,D0001,400.0,2024-12-31,-618,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000124,D0049,88.0,2025-07-10,-427,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000125,D0038,155.0,2024-01-08,-976,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000126,D0031,50.0,2025-07-11,-426,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000127,D0024,107.0,2024-07-18,-784,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000128,D0009,319.0,2024-07-19,-783,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000129,D0043,455.0,2024-01-17,-967,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000130,D0005,318.0,2025-07-21,-416,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000131,D0007,162.0,2026-07-22,-50,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000132,D0037,52.0,2024-01-20,-964,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000133,D0046,218.0,2025-01-16,-602,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000134,D0048,414.0,2025-07-26,-411,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000135,D0011,279.0,2025-07-28,-409,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000136,D0032,178.0,2026-08-01,-40,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000137,D0035,296.0,2025-08-06,-400,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000138,D0050,187.0,2025-01-29,-589,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000139,D0047,52.0,2026-08-12,-29,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000140,D0022,50.0,2024-02-11,-942,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000141,D0029,257.0,2024-08-18,-753,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000142,D0006,108.0,2024-08-19,-752,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000143,D0042,455.0,2025-08-20,-386,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000144,D0018,426.0,2025-08-22,-384,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000145,D0016,389.0,2024-02-19,-934,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000146,D0003,137.0,2024-02-21,-932,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000147,D0049,88.0,2025-09-08,-367,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000148,D0009,319.0,2024-09-10,-730,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000149,D0021,426.0,2025-09-11,-364,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000150,D0001,400.0,2025-03-05,-554,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000151,D0034,95.0,2024-09-12,-728,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000152,D0038,155.0,2024-03-17,-907,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000153,D0024,107.0,2024-09-21,-719,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000154,D0027,449.0,2025-03-16,-543,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000155,D0043,455.0,2024-03-28,-896,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000156,D0005,318.0,2025-10-01,-344,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000157,D0037,52.0,2024-04-01,-892,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000158,D0007,162.0,2026-10-06,26,CRITICAL,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000159,D0048,414.0,2025-10-08,-337,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000160,D0011,279.0,2025-10-10,-335,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000161,D0032,178.0,2026-10-13,33,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000162,D0046,218.0,2025-04-09,-519,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000163,D0035,296.0,2025-10-16,-329,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000164,D0050,187.0,2025-04-19,-509,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000165,D0006,108.0,2024-10-26,-684,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000166,D0003,137.0,2024-04-27,-866,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000167,D0018,426.0,2025-11-02,-312,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000168,D0042,455.0,2025-11-03,-311,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000169,D0029,257.0,2024-11-04,-675,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000170,D0047,52.0,2026-11-06,57,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000171,D0022,50.0,2024-05-05,-858,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000172,D0033,50.0,2024-11-10,-669,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000173,D0021,426.0,2025-11-17,-297,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000174,D0014,50.0,2025-11-18,-296,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000175,D0009,319.0,2024-11-19,-660,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000176,D0027,449.0,2025-05-13,-485,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000177,D0016,389.0,2024-05-20,-843,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000178,D0034,95.0,2024-11-21,-658,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000179,D0049,88.0,2025-11-24,-290,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000180,D0024,107.0,2024-12-01,-648,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000181,D0001,400.0,2025-05-26,-472,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000182,D0038,155.0,2024-06-01,-831,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000183,D0010,51.0,2024-12-06,-643,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000184,D0031,50.0,2025-12-09,-275,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000185,D0005,318.0,2025-12-12,-272,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000186,D0037,52.0,2024-06-13,-819,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000187,D0007,162.0,2026-12-16,97,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000188,D0043,376.0,2024-06-18,-814,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000189,D0011,279.0,2025-12-20,-264,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000190,D0046,218.0,2025-06-23,-444,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000191,D0032,178.0,2027-01-01,113,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000192,D0035,237.0,2026-01-02,-251,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000193,D0048,414.0,2026-01-03,-250,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000194,D0050,187.0,2025-06-29,-438,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000195,D0006,108.0,2025-01-06,-612,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000196,D0003,137.0,2024-07-07,-795,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000197,D0047,41.0,2027-01-09,121,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000198,D0018,426.0,2026-01-10,-243,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000199,D0017,50.0,2027-01-11,123,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000200,D0029,257.0,2025-01-11,-607,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000201,D0042,455.0,2026-01-14,-239,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000202,D0016,356.0,2024-07-14,-788,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000203,D0021,426.0,2026-01-22,-231,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000204,D0049,77.0,2026-01-22,-231,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000205,D0009,319.0,2025-01-25,-593,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000206,D0038,155.0,2024-07-26,-776,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000207,D0027,449.0,2025-07-24,-413,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000208,D0024,107.0,2025-01-31,-587,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000209,D0034,95.0,2025-01-31,-587,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000210,D0001,400.0,2025-07-27,-410,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000211,D0037,52.0,2024-08-02,-769,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000212,D0043,455.0,2024-08-05,-766,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000213,D0035,296.0,2026-02-06,-216,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000214,D0007,162.0,2027-02-10,153,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000215,D0010,51.0,2025-02-10,-577,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000216,D0033,50.0,2025-02-10,-577,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000217,D0014,44.0,2026-02-11,-211,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000218,D0005,318.0,2026-02-12,-210,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000219,D0022,50.0,2024-08-13,-758,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000220,D0048,414.0,2026-02-19,-203,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000221,D0030,56.0,2026-02-21,-201,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000222,D0011,236.0,2026-02-22,-200,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000223,D0003,137.0,2024-08-21,-750,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000224,D0039,53.0,2027-02-22,165,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000225,D0046,218.0,2025-08-17,-389,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000226,D0041,53.0,2024-08-23,-748,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000227,D0032,178.0,2027-02-27,170,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
