DrugID,ForecastDailyDemand,LeadTimeDays,LeadTimeDemand,SafetyStock,ReorderPoint,CurrentStock,Decision,DataSource,DataStatus,OperationalUse
D0016,5.8571,7.73,45.25,5.6,50.86,9398.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,1.0,7.73,7.73,1.84,9.56,1138.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,9.0,7.73,69.53,10.01,79.54,9670.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,1.0,7.73,7.73,1.84,9.57,470.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,0.0,7.73,0.0,0.97,0.97,175.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,7.4286,7.73,57.39,7.82,65.21,10942.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,0.5714,7.73,4.41,2.22,6.63,805.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,0.0,7.73,0.0,2.13,2.13,391.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,1.1429,7.73,8.83,3.53,12.36,2667.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,0.0,7.73,0.0,1.65,1.65,284.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,0.7802,7.73,6.03,2.21,8.24,686.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,7.8571,7.73,60.7,8.9,69.6,11007.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,0.0,7.73,0.0,1.76,1.76,486.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,4.0,7.73,30.9,5.11,36.01,6571.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,0.7143,7.73,5.52,1.24,6.76,1273.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,0.4286,7.73,3.31,2.16,5.47,543.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,2.2857,7.73,17.66,3.31,20.97,3904.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,0.4286,7.73,3.31,2.11,5.42,774.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,1.8571,7.73,14.35,2.79,17.14,2150.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,3.8571,7.73,29.8,6.47,36.27,6839.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,0.0,7.73,0.0,1.08,1.08,387.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,0.5714,7.73,4.41,1.37,5.78,1123.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,2.5357,7.73,19.59,2.84,22.43,3695.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,0.8571,7.73,6.62,1.2,7.82,1230.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,1.0,7.73,7.73,2.11,9.84,526.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,1.1429,7.73,8.83,2.29,11.12,1370.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,7.4286,7.73,57.39,11.94,69.33,11619.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,7.5714,7.73,58.5,10.86,69.36,11123.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,0.0,7.73,0.0,1.83,1.83,375.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,0.2857,7.73,2.21,1.8,4.01,335.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,3.2857,7.73,25.39,3.06,28.45,5059.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,0.7143,7.73,5.52,1.37,6.89,1157.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,6.5714,7.73,50.77,8.39,59.16,9951.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,1.1429,7.73,8.83,2.96,11.79,2159.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,2.2857,7.73,17.66,4.05,21.71,4359.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
