DrugID,ForecastDailyDemand,DemandUncertaintyMAE,LeadTimeDays,ServiceFactor,SafetyStock,DataSource,DataStatus,OperationalUse
D0029,4.0,1.1138,7.73,1.65,5.11,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,0.7143,0.2714,7.73,1.65,1.24,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,0.4286,0.47,7.73,1.65,2.16,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,2.2857,0.7217,7.73,1.65,3.31,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,0.4286,0.4594,7.73,1.65,2.11,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,1.8571,0.6085,7.73,1.65,2.79,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,3.8571,1.4106,7.73,1.65,6.47,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,0.0,0.2351,7.73,1.65,1.08,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,0.5714,0.2984,7.73,1.65,1.37,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,2.5357,0.6194,7.73,1.65,2.84,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,0.8571,0.2608,7.73,1.65,1.2,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,1.0,0.461,7.73,1.65,2.11,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,1.1429,0.4995,7.73,1.65,2.29,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,7.4286,2.6032,7.73,1.65,11.94,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,7.5714,2.3677,7.73,1.65,10.86,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,0.0,0.3989,7.73,1.65,1.83,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,0.2857,0.3921,7.73,1.65,1.8,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,3.2857,0.6677,7.73,1.65,3.06,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,0.7143,0.2984,7.73,1.65,1.37,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,6.5714,1.8291,7.73,1.65,8.39,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,1.1429,0.6455,7.73,1.65,2.96,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,2.2857,0.8841,7.73,1.65,4.05,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
