DrugID,GenericName,ObservationDays,TrainingDays,ValidationDays,MeanDailyDemand,MA7,MA30,NaiveForecast,MovingAverageForecast,WeightedForecast,TrendForecast,SelectedModel,SelectedForecast,SelectedMAE,SelectedRMSE,SelectedBias,DataSource,DataStatus,OperationalUse
D0025,Diclofenac,1343,1074,269,0.1788,0.0,0.2,0.0,0.0,0.0,0.0,NAIVE,0.0,0.3606,0.6005,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,Doxycycline,1345,1076,269,0.4684,0.7143,0.4,1.0,0.7143,0.8929,0.7802,TREND,0.7802,0.4823,0.5567,0.004,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,Enalapril,1348,1078,270,7.8571,7.8571,7.5,7.0,7.8571,8.7143,8.8132,MOVING_AVERAGE,7.8571,1.9397,2.5148,0.0434,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,Esomeprazole,1344,1075,269,0.3414,0.1429,0.1333,0.0,0.1429,0.1786,0.2198,NAIVE,0.0,0.3829,0.6188,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,Fluconazole,1348,1078,270,4.4675,4.0,4.2,4.0,4.0,4.2143,3.9121,MOVING_AVERAGE,4.0,1.1138,1.4249,0.0069,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,FolicAcid,1348,1078,270,0.9017,0.7143,0.8,1.0,0.7143,0.6786,0.5385,MOVING_AVERAGE,0.7143,0.2714,0.4214,0.0005,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,Furosemide,1344,1075,269,0.3767,0.4286,0.3667,1.0,0.4286,0.5,0.5055,MOVING_AVERAGE,0.4286,0.47,0.514,0.0005,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,Gabapentin,1348,1078,270,2.7718,2.2857,2.2,2.0,2.2857,2.0714,1.978,MOVING_AVERAGE,2.2857,0.7217,0.899,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,Gliclazide,1344,1075,269,0.534,0.4286,0.4,1.0,0.4286,0.4286,0.5385,MOVING_AVERAGE,0.4286,0.4594,0.5114,-0.0005,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,Hydrochlorothiazide,1348,1078,270,1.5529,1.8571,1.2667,2.0,1.8571,1.8214,2.033,MOVING_AVERAGE,1.8571,0.6085,0.7507,0.0148,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,Ibuprofen,1348,1078,270,4.8896,3.8571,4.1667,3.0,3.8571,3.8929,4.1648,MOVING_AVERAGE,3.8571,1.4106,1.8214,0.0032,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,Insulin,1339,1071,268,0.1307,0.1429,0.1667,0.0,0.1429,0.0714,0.1648,NAIVE,0.0,0.2351,0.4848,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,Losartan,1348,1078,270,0.8098,0.5714,0.6333,1.0,0.5714,0.75,0.6044,MOVING_AVERAGE,0.5714,0.2984,0.4148,-0.0011,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,Metformin,1348,1078,270,2.6271,2.4286,2.4333,3.0,2.4286,2.5357,2.5275,WEIGHTED_MOVING_AVERAGE,2.5357,0.6194,0.8038,0.006,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,Montelukast,1346,1076,270,0.8467,0.8571,0.6333,1.0,0.8571,0.9286,1.1538,MOVING_AVERAGE,0.8571,0.2608,0.4181,0.0048,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,Omeprazole,1343,1074,269,0.3622,0.5714,0.4,1.0,0.5714,0.6429,0.6484,NAIVE,1.0,0.461,0.6789,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,Paracetamol,1347,1077,270,0.9675,1.1429,1.0333,0.0,1.1429,1.0,0.978,MOVING_AVERAGE,1.1429,0.4995,0.6641,-0.0032,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,Prednisolone,1348,1078,270,8.1373,7.4286,7.7667,6.0,7.4286,7.1429,7.3626,MOVING_AVERAGE,7.4286,2.6032,3.5829,0.0021,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,Salbutamol,1348,1078,270,7.6679,7.5714,7.3,4.0,7.5714,7.7143,7.8901,MOVING_AVERAGE,7.5714,2.3677,2.9943,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,Simvastatin,1337,1069,268,0.2432,0.0,0.1333,0.0,0.0,0.0,0.0,WEIGHTED_MOVING_AVERAGE,0.0,0.3989,0.4876,-0.0039,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,Spironolactone,1342,1073,269,0.1976,0.4286,0.2667,0.0,0.4286,0.2857,0.4286,WEIGHTED_MOVING_AVERAGE,0.2857,0.3921,0.4809,-0.002,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,Tramadol,1348,1078,270,3.5983,3.2857,3.0,4.0,3.2857,3.5714,3.7473,MOVING_AVERAGE,3.2857,0.6677,0.8525,0.0148,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,Valproate,1348,1078,270,0.834,0.7143,0.7,1.0,0.7143,0.7857,0.7033,MOVING_AVERAGE,0.7143,0.2984,0.4445,0.0032,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,VitaminD,1348,1078,270,7.0297,6.5714,6.4667,8.0,6.5714,6.75,7.1099,MOVING_AVERAGE,6.5714,1.8291,2.25,0.0143,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,Warfarin,1348,1078,270,1.5325,1.1429,1.2667,1.0,1.1429,1.0714,0.978,MOVING_AVERAGE,1.1429,0.6455,0.7847,0.0032,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,Zinc,1348,1078,270,3.0278,2.2857,2.6667,2.0,2.2857,2.3214,2.2747,MOVING_AVERAGE,2.2857,0.8841,1.093,0.0079,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
