SaleID,Timestamp,DrugID,Quantity,UnitPrice,Revenue,BatchID,DataSource,DataStatus,NotOperationalEvidence
SALE00000023,2023-01-01T09:41:00,D0032,2,53.65,107.3,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000024,2023-01-01T13:54:00,D0034,1,34.89,34.89,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000025,2023-01-01T08:13:00,D0035,6,13.01,78.06,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000026,2023-01-01T15:59:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000027,2023-01-01T14:15:00,D0038,3,3.72,11.16,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000028,2023-01-01T08:46:00,D0039,1,61.94,61.94,B000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000029,2023-01-01T08:16:00,D0041,1,102.43,102.43,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000030,2023-01-01T08:33:00,D0042,4,21.23,84.92,B000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000031,2023-01-01T08:50:00,D0043,7,38.77,271.39,B000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000032,2023-01-01T12:46:00,D0046,3,51.02,153.06,B000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000033,2023-01-01T18:07:00,D0047,1,33.93,33.93,B000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000034,2023-01-01T11:29:00,D0048,6,43.3,259.8,B000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000035,2023-01-01T14:51:00,D0049,1,82.09,82.09,B000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000036,2023-01-01T21:41:00,D0050,2,22.42,44.84,B000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000037,2023-01-02T11:21:00,D0001,10,10.71,107.1,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000038,2023-01-02T10:35:00,D0003,2,84.38,168.76,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000039,2023-01-02T10:21:00,D0005,6,52.09,312.54,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000040,2023-01-02T20:34:00,D0006,2,61.77,123.54,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000041,2023-01-02T16:00:00,D0007,4,74.09,296.36,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000042,2023-01-02T21:30:00,D0008,1,62.15,62.15,B000008,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000043,2023-01-02T20:21:00,D0009,10,21.38,213.8,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000044,2023-01-02T20:34:00,D0010,1,47.12,47.12,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000045,2023-01-02T20:09:00,D0011,3,50.9,152.7,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000046,2023-01-02T09:55:00,D0016,5,51.61,258.05,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000047,2023-01-02T15:41:00,D0018,7,78.06,546.42,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000048,2023-01-02T12:51:00,D0021,7,57.92,405.44,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000049,2023-01-02T20:31:00,D0022,1,35.59,35.59,B000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000050,2023-01-02T11:32:00,D0024,3,25.32,75.96,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000051,2023-01-02T16:39:00,D0026,1,84.52,84.52,B000026,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000052,2023-01-02T13:26:00,D0027,12,21.0,252.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000053,2023-01-02T10:43:00,D0028,1,46.99,46.99,B000028,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000054,2023-01-02T14:07:00,D0029,4,13.88,55.52,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000055,2023-01-02T10:24:00,D0032,3,53.65,160.95,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000056,2023-01-02T09:28:00,D0034,1,34.89,34.89,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000057,2023-01-02T18:00:00,D0035,3,13.01,39.03,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000058,2023-01-02T12:27:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000059,2023-01-02T13:34:00,D0038,3,3.72,11.16,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000060,2023-01-02T09:25:00,D0039,1,61.94,61.94,B000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000061,2023-01-02T19:49:00,D0040,1,46.28,46.28,B000040,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000062,2023-01-02T10:12:00,D0041,2,102.43,204.86,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000063,2023-01-02T13:56:00,D0042,7,21.23,148.61,B000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000064,2023-01-02T17:40:00,D0043,6,38.77,232.62,B000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000065,2023-01-02T18:31:00,D0046,5,51.02,255.1,B000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000066,2023-01-02T14:19:00,D0047,1,33.93,33.93,B000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000067,2023-01-02T13:20:00,D0048,8,43.3,346.4,B000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000068,2023-01-02T16:55:00,D0049,1,82.09,82.09,B000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000069,2023-01-02T20:06:00,D0050,4,22.42,89.68,B000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000070,2023-01-03T08:13:00,D0001,6,10.71,64.26,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000071,2023-01-03T13:46:00,D0003,2,84.38,168.76,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000072,2023-01-03T20:15:00,D0005,6,52.09,312.54,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000073,2023-01-03T11:09:00,D0006,2,61.77,123.54,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000074,2023-01-03T08:51:00,D0007,3,74.09,222.27,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000075,2023-01-03T17:19:00,D0009,5,21.38,106.9,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000076,2023-01-03T21:52:00,D0010,2,47.12,94.24,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000077,2023-01-03T08:15:00,D0011,7,50.9,356.3,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000078,2023-01-03T11:16:00,D0014,1,21.2,21.2,B000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000079,2023-01-03T20:09:00,D0015,1,75.33,75.33,B000015,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000080,2023-01-03T08:20:00,D0016,6,51.61,309.66,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000081,2023-01-03T16:44:00,D0018,10,78.06,780.6,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000082,2023-01-03T11:47:00,D0021,10,57.92,579.2,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000083,2023-01-03T17:23:00,D0022,1,35.59,35.59,B000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000084,2023-01-03T18:42:00,D0024,1,25.32,25.32,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000085,2023-01-03T13:05:00,D0027,5,21.0,105.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000086,2023-01-03T09:39:00,D0029,7,13.88,97.16,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000087,2023-01-03T12:44:00,D0030,1,29.59,29.59,B000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000088,2023-01-03T14:12:00,D0032,2,53.65,107.3,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000089,2023-01-03T09:47:00,D0034,2,34.89,69.78,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000090,2023-01-03T12:41:00,D0035,4,13.01,52.04,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000091,2023-01-03T17:10:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000092,2023-01-03T10:54:00,D0038,2,3.72,7.44,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000093,2023-01-03T13:25:00,D0039,1,61.94,61.94,B000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000094,2023-01-03T12:06:00,D0041,1,102.43,102.43,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000095,2023-01-03T19:50:00,D0042,6,21.23,127.38,B000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000096,2023-01-03T18:18:00,D0043,12,38.77,465.24,B000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000097,2023-01-03T20:56:00,D0046,4,51.02,204.08,B000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000098,2023-01-03T09:16:00,D0047,1,33.93,33.93,B000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000099,2023-01-03T20:51:00,D0048,9,43.3,389.7,B000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000100,2023-01-03T20:04:00,D0049,1,82.09,82.09,B000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000101,2023-01-03T08:09:00,D0050,4,22.42,89.68,B000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000102,2023-01-04T09:09:00,D0001,5,10.71,53.55,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000103,2023-01-04T10:36:00,D0003,2,84.38,168.76,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000104,2023-01-04T13:01:00,D0005,5,52.09,260.45,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000105,2023-01-04T16:32:00,D0006,3,61.77,185.31,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000106,2023-01-04T21:48:00,D0007,3,74.09,222.27,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000107,2023-01-04T11:59:00,D0008,1,62.15,62.15,B000008,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000108,2023-01-04T20:04:00,D0009,3,21.38,64.14,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000109,2023-01-04T18:15:00,D0010,1,47.12,47.12,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000110,2023-01-04T17:29:00,D0011,7,50.9,356.3,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000111,2023-01-04T18:07:00,D0014,1,21.2,21.2,B000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000112,2023-01-04T21:43:00,D0015,1,75.33,75.33,B000015,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000113,2023-01-04T12:55:00,D0016,6,51.61,309.66,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000114,2023-01-04T15:53:00,D0017,1,51.11,51.11,B000017,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000115,2023-01-04T08:17:00,D0018,16,78.06,1248.96,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000116,2023-01-04T10:27:00,D0019,1,91.17,91.17,B000019,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000117,2023-01-04T09:44:00,D0021,7,57.92,405.44,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000118,2023-01-04T14:34:00,D0023,1,55.78,55.78,B000023,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000119,2023-01-04T09:07:00,D0024,2,25.32,50.64,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000120,2023-01-04T19:37:00,D0025,1,3.32,3.32,B000025,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000121,2023-01-04T08:30:00,D0026,1,84.52,84.52,B000026,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000122,2023-01-04T09:22:00,D0027,10,21.0,210.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000123,2023-01-04T13:46:00,D0029,4,13.88,55.52,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000124,2023-01-04T15:42:00,D0030,1,29.59,29.59,B000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000125,2023-01-04T19:29:00,D0031,1,68.71,68.71,B000031,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000126,2023-01-04T20:40:00,D0032,4,53.65,214.6,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000127,2023-01-04T15:44:00,D0034,1,34.89,34.89,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000128,2023-01-04T14:10:00,D0035,5,13.01,65.05,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000129,2023-01-04T09:08:00,D0036,1,47.28,47.28,B000036,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000130,2023-01-04T19:57:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000131,2023-01-04T20:29:00,D0038,2,3.72,7.44,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000132,2023-01-04T20:28:00,D0039,1,61.94,61.94,B000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000133,2023-01-04T13:17:00,D0040,1,46.28,46.28,B000040,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000134,2023-01-04T16:31:00,D0041,1,102.43,102.43,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000135,2023-01-04T17:45:00,D0042,7,21.23,148.61,B000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000136,2023-01-04T19:59:00,D0043,6,38.77,232.62,B000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000137,2023-01-04T08:25:00,D0046,4,51.02,204.08,B000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000138,2023-01-04T11:43:00,D0047,1,33.93,33.93,B000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000139,2023-01-04T14:32:00,D0048,7,43.3,303.1,B000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000140,2023-01-04T11:52:00,D0049,1,82.09,82.09,B000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000141,2023-01-04T19:38:00,D0050,3,22.42,67.26,B000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000142,2023-01-05T08:40:00,D0001,4,10.71,42.84,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000143,2023-01-05T21:09:00,D0002,1,68.21,68.21,B000002,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000144,2023-01-05T16:45:00,D0003,2,84.38,168.76,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000145,2023-01-05T15:31:00,D0005,6,52.09,312.54,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000146,2023-01-05T17:31:00,D0006,1,61.77,61.77,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000147,2023-01-05T12:09:00,D0007,3,74.09,222.27,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000148,2023-01-05T11:52:00,D0008,1,62.15,62.15,B000008,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000149,2023-01-05T13:06:00,D0009,5,21.38,106.9,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000150,2023-01-05T09:50:00,D0010,1,47.12,47.12,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000151,2023-01-05T11:10:00,D0011,4,50.9,203.6,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000152,2023-01-05T18:23:00,D0012,1,30.61,30.61,B000012,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000153,2023-01-05T17:39:00,D0013,1,30.24,30.24,B000013,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000154,2023-01-05T12:24:00,D0014,1,21.2,21.2,B000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000155,2023-01-05T14:13:00,D0015,1,75.33,75.33,B000015,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000156,2023-01-05T20:49:00,D0016,6,51.61,309.66,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000157,2023-01-05T18:49:00,D0017,1,51.11,51.11,B000017,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000158,2023-01-05T18:39:00,D0018,8,78.06,624.48,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000159,2023-01-05T16:15:00,D0021,8,57.92,463.36,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000160,2023-01-05T15:17:00,D0022,1,35.59,35.59,B000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000161,2023-01-05T10:32:00,D0024,3,25.32,75.96,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000162,2023-01-05T20:41:00,D0026,1,84.52,84.52,B000026,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000163,2023-01-05T10:16:00,D0027,8,21.0,168.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000164,2023-01-05T14:12:00,D0028,1,46.99,46.99,B000028,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000165,2023-01-05T09:58:00,D0029,5,13.88,69.4,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000166,2023-01-05T09:19:00,D0030,1,29.59,29.59,B000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000167,2023-01-05T08:34:00,D0032,3,53.65,160.95,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000168,2023-01-05T10:20:00,D0033,1,66.98,66.98,B000033,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000169,2023-01-05T09:47:00,D0034,3,34.89,104.67,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000170,2023-01-05T12:54:00,D0035,8,13.01,104.08,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000171,2023-01-05T19:09:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000172,2023-01-05T21:50:00,D0038,3,3.72,11.16,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000173,2023-01-05T12:48:00,D0041,1,102.43,102.43,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000174,2023-01-05T10:15:00,D0042,8,21.23,169.84,B000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000175,2023-01-05T19:43:00,D0043,8,38.77,310.16,B000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000176,2023-01-05T17:22:00,D0046,4,51.02,204.08,B000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000177,2023-01-05T11:51:00,D0047,1,33.93,33.93,B000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000178,2023-01-05T15:24:00,D0048,7,43.3,303.1,B000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000179,2023-01-05T08:20:00,D0049,1,82.09,82.09,B000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000180,2023-01-05T19:15:00,D0050,2,22.42,44.84,B000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000181,2023-01-06T13:06:00,D0001,15,10.71,160.65,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000182,2023-01-06T15:55:00,D0003,3,84.38,253.14,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000183,2023-01-06T21:48:00,D0005,8,52.09,416.72,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000184,2023-01-06T18:54:00,D0006,1,61.77,61.77,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000185,2023-01-06T19:59:00,D0007,3,74.09,222.27,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000186,2023-01-06T16:27:00,D0008,1,62.15,62.15,B000008,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000187,2023-01-06T10:03:00,D0009,5,21.38,106.9,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000188,2023-01-06T12:11:00,D0010,1,47.12,47.12,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000189,2023-01-06T15:50:00,D0011,5,50.9,254.5,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000190,2023-01-06T13:20:00,D0014,1,21.2,21.2,B000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000191,2023-01-06T08:27:00,D0016,9,51.61,464.49,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000192,2023-01-06T21:31:00,D0018,8,78.06,624.48,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000193,2023-01-06T20:07:00,D0020,1,104.74,104.74,B000020,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000194,2023-01-06T11:48:00,D0021,7,57.92,405.44,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000195,2023-01-06T21:56:00,D0022,1,35.59,35.59,B000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000196,2023-01-06T17:26:00,D0024,3,25.32,75.96,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000197,2023-01-06T21:52:00,D0027,9,21.0,189.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000198,2023-01-06T08:12:00,D0029,3,13.88,41.64,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000199,2023-01-06T08:17:00,D0030,1,29.59,29.59,B000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000200,2023-01-06T20:31:00,D0032,3,53.65,160.95,B000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000201,2023-01-06T08:19:00,D0033,1,66.98,66.98,B000033,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000202,2023-01-06T10:38:00,D0034,1,34.89,34.89,B000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000203,2023-01-06T15:40:00,D0035,5,13.01,65.05,B000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000204,2023-01-06T14:50:00,D0037,1,46.49,46.49,B000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000205,2023-01-06T18:38:00,D0038,4,3.72,14.88,B000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000206,2023-01-06T15:20:00,D0039,1,61.94,61.94,B000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000207,2023-01-06T16:33:00,D0041,1,102.43,102.43,B000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
