ReturnID,Timestamp,SaleID,DrugID,Quantity,Reason,DataSource,DataStatus,NotOperationalEvidence
RET0000021,2023-02-06T21:57:00,SALE00001299,D0018,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000022,2023-02-07T19:06:00,SALE00001346,D0029,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000023,2023-02-11T16:01:00,SALE00001482,D0018,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000024,2023-02-12T21:34:00,SALE00001538,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000025,2023-02-18T11:36:00,SALE00001736,D0007,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000026,2023-02-24T11:21:00,SALE00001964,D0011,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000027,2023-02-26T11:35:00,SALE00002063,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000028,2023-02-27T19:16:00,SALE00002071,D0001,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000029,2023-02-27T08:03:00,SALE00002073,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000030,2023-02-27T11:58:00,SALE00002093,D0033,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000031,2023-02-28T13:47:00,SALE00002107,D0001,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000032,2023-02-28T11:10:00,SALE00002145,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000033,2023-03-05T17:38:00,SALE00002321,D0026,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000034,2023-03-06T16:23:00,SALE00002353,D0023,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000035,2023-03-08T17:17:00,SALE00002413,D0007,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000036,2023-03-09T11:02:00,SALE00002482,D0048,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000037,2023-03-11T20:59:00,SALE00002539,D0024,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000038,2023-03-11T13:02:00,SALE00002541,D0027,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000039,2023-03-14T16:47:00,SALE00002670,D0046,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000040,2023-03-16T14:55:00,SALE00002735,D0032,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000041,2023-03-21T15:37:00,SALE00002923,D0035,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000042,2023-03-22T15:18:00,SALE00002957,D0029,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000043,2023-03-24T20:56:00,SALE00003030,D0029,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000044,2023-03-25T15:22:00,SALE00003062,D0018,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000045,2023-03-25T20:44:00,SALE00003079,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000046,2023-03-26T11:13:00,SALE00003113,D0040,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000047,2023-03-28T13:50:00,SALE00003166,D0008,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000048,2023-03-29T17:43:00,SALE00003202,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000049,2023-03-30T20:15:00,SALE00003248,D0022,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000050,2023-03-31T17:20:00,SALE00003294,D0029,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000051,2023-04-01T21:06:00,SALE00003328,D0029,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000052,2023-04-02T08:51:00,SALE00003351,D0013,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000053,2023-04-04T20:40:00,SALE00003443,D0037,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000054,2023-04-05T14:43:00,SALE00003467,D0020,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000055,2023-04-08T14:59:00,SALE00003570,D0006,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000056,2023-04-08T14:06:00,SALE00003601,D0047,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000057,2023-04-09T14:14:00,SALE00003612,D0011,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000058,2023-04-12T20:55:00,SALE00003724,D0006,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000059,2023-04-13T14:50:00,SALE00003787,D0041,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000060,2023-04-16T15:32:00,SALE00003868,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000061,2023-04-17T15:06:00,SALE00003917,D0018,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000062,2023-04-21T15:06:00,SALE00004078,D0033,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000063,2023-04-23T20:26:00,SALE00004161,D0043,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000064,2023-04-25T16:36:00,SALE00004242,D0049,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000065,2023-04-27T16:47:00,SALE00004296,D0022,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000066,2023-04-30T08:24:00,SALE00004420,D0039,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000067,2023-05-01T09:48:00,SALE00004438,D0012,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000068,2023-05-01T20:25:00,SALE00004448,D0027,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000069,2023-05-03T21:43:00,SALE00004535,D0047,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000070,2023-05-04T13:52:00,SALE00004572,D0046,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000071,2023-05-05T16:04:00,SALE00004600,D0035,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000072,2023-05-06T17:45:00,SALE00004634,D0034,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000073,2023-05-06T14:48:00,SALE00004638,D0040,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000074,2023-05-11T12:27:00,SALE00004803,D0016,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000075,2023-05-11T14:30:00,SALE00004820,D0038,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000076,2023-05-13T13:24:00,SALE00004885,D0023,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000077,2023-05-13T13:04:00,SALE00004891,D0032,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000078,2023-05-17T08:19:00,SALE00005028,D0016,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000079,2023-05-17T15:37:00,SALE00005034,D0027,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000080,2023-05-18T18:50:00,SALE00005072,D0022,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000081,2023-05-19T14:01:00,SALE00005118,D0043,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000082,2023-05-19T15:47:00,SALE00005121,D0048,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000083,2023-05-21T12:57:00,SALE00005194,D0050,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000084,2023-05-23T13:08:00,SALE00005233,D0001,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000085,2023-05-23T17:47:00,SALE00005272,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000086,2023-05-27T10:20:00,SALE00005401,D0018,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000087,2023-05-28T14:37:00,SALE00005462,D0049,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000088,2023-05-30T08:27:00,SALE00005533,D0043,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000089,2023-06-01T21:33:00,SALE00005604,D0039,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000090,2023-06-02T11:09:00,SALE00005639,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000091,2023-06-03T20:38:00,SALE00005674,D0046,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000092,2023-06-05T09:27:00,SALE00005738,D0035,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000093,2023-06-07T15:09:00,SALE00005798,D0019,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000094,2023-06-08T19:44:00,SALE00005850,D0041,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000095,2023-06-09T11:12:00,SALE00005886,D0039,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000096,2023-06-12T13:11:00,SALE00005969,D0011,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000097,2023-06-16T15:03:00,SALE00006137,D0043,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000098,2023-06-17T09:00:00,SALE00006161,D0027,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000099,2023-06-24T08:44:00,SALE00006399,D0022,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000100,2023-06-24T14:08:00,SALE00006415,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000101,2023-06-30T13:39:00,SALE00006604,D0001,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000102,2023-07-02T14:22:00,SALE00006695,D0024,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000103,2023-07-03T13:12:00,SALE00006737,D0034,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000104,2023-07-05T09:54:00,SALE00006793,D0014,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000105,2023-07-07T08:38:00,SALE00006859,D0009,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000106,2023-07-08T14:29:00,SALE00006910,D0038,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000107,2023-07-14T19:18:00,SALE00007116,D0042,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000108,2023-07-16T15:59:00,SALE00007161,D0009,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000109,2023-07-18T20:36:00,SALE00007245,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000110,2023-07-26T08:54:00,SALE00007503,D0022,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000111,2023-07-27T08:13:00,SALE00007534,D0018,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000112,2023-07-30T20:40:00,SALE00007641,D0038,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000113,2023-07-30T17:22:00,SALE00007651,D0050,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000114,2023-07-31T10:38:00,SALE00007652,D0001,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000115,2023-07-31T10:39:00,SALE00007655,D0006,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000116,2023-08-02T15:16:00,SALE00007733,D0032,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000117,2023-08-03T09:36:00,SALE00007752,D0008,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000118,2023-08-07T10:57:00,SALE00007889,D0008,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000119,2023-08-07T09:34:00,SALE00007913,D0046,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000120,2023-08-09T17:42:00,SALE00007984,D0043,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000121,2023-08-10T17:51:00,SALE00008002,D0021,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000122,2023-08-13T20:04:00,SALE00008089,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000123,2023-08-13T16:22:00,SALE00008091,D0007,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000124,2023-08-15T11:40:00,SALE00008177,D0043,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000125,2023-08-17T19:25:00,SALE00008253,D0050,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000126,2023-08-18T10:31:00,SALE00008257,D0006,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000127,2023-08-21T18:56:00,SALE00008360,D0013,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000128,2023-08-22T21:29:00,SALE00008405,D0032,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000129,2023-08-23T14:11:00,SALE00008428,D0016,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000130,2023-08-25T18:39:00,SALE00008512,D0041,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000131,2023-08-28T21:15:00,SALE00008594,D0014,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000132,2023-08-29T16:50:00,SALE00008622,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000133,2023-08-30T13:02:00,SALE00008665,D0026,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000134,2023-09-04T09:19:00,SALE00008813,D0001,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000135,2023-09-05T10:25:00,SALE00008855,D0007,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000136,2023-09-07T19:44:00,SALE00008919,D0006,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000137,2023-09-09T16:11:00,SALE00008990,D0009,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000138,2023-09-10T15:06:00,SALE00009027,D0018,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000139,2023-09-11T15:49:00,SALE00009047,D0002,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000140,2023-09-14T18:53:00,SALE00009157,D0023,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000141,2023-09-16T16:14:00,SALE00009228,D0025,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000142,2023-09-18T17:07:00,SALE00009290,D0022,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000143,2023-09-19T17:54:00,SALE00009315,D0010,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000144,2023-09-20T11:23:00,SALE00009353,D0034,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000145,2023-09-20T13:20:00,SALE00009361,D0048,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000146,2023-09-22T08:02:00,SALE00009404,D0007,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000147,2023-09-24T08:27:00,SALE00009489,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000148,2023-09-30T20:42:00,SALE00009673,D0021,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000149,2023-10-02T11:08:00,SALE00009733,D0021,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000150,2023-10-06T11:20:00,SALE00009878,D0048,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000151,2023-10-09T10:14:00,SALE00009958,D0016,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000152,2023-10-13T21:43:00,SALE00010099,D0035,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000153,2023-10-15T20:07:00,SALE00010159,D0038,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000154,2023-10-15T08:35:00,SALE00010162,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000155,2023-10-17T15:19:00,SALE00010204,D0005,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000156,2023-10-18T10:41:00,SALE00010259,D0046,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000157,2023-10-21T14:05:00,SALE00010339,D0013,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000158,2023-10-24T21:36:00,SALE00010431,D0001,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000159,2023-10-24T08:34:00,SALE00010463,D0042,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000160,2023-10-25T09:43:00,SALE00010491,D0034,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000161,2023-10-30T08:14:00,SALE00010636,D0010,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000162,2023-11-01T09:47:00,SALE00010716,D0026,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000163,2023-11-01T08:44:00,SALE00010721,D0034,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000164,2023-11-01T09:19:00,SALE00010731,D0047,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000165,2023-11-02T20:05:00,SALE00010752,D0032,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000166,2023-11-02T09:24:00,SALE00010755,D0035,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000167,2023-11-02T08:33:00,SALE00010760,D0042,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000168,2023-11-05T21:08:00,SALE00010841,D0006,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000169,2023-11-05T14:07:00,SALE00010851,D0029,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000170,2023-11-07T09:31:00,SALE00010897,D0001,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000171,2023-11-07T14:52:00,SALE00010923,D0034,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000172,2023-11-08T15:26:00,SALE00010953,D0030,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000173,2023-11-09T11:38:00,SALE00010993,D0035,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000174,2023-11-10T16:56:00,SALE00011027,D0037,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000175,2023-11-11T19:04:00,SALE00011041,D0006,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000176,2023-11-11T16:24:00,SALE00011043,D0009,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000177,2023-11-11T13:32:00,SALE00011066,D0042,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000178,2023-11-13T10:53:00,SALE00011120,D0027,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000179,2023-11-14T10:28:00,SALE00011151,D0021,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000180,2023-11-15T21:24:00,SALE00011189,D0028,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000181,2023-11-18T15:03:00,SALE00011281,D0015,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000182,2023-11-19T16:14:00,SALE00011327,D0037,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000183,2023-11-21T11:08:00,SALE00011384,D0022,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000184,2023-11-23T10:07:00,SALE00011460,D0042,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000185,2023-11-24T19:04:00,SALE00011485,D0029,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000186,2023-12-01T17:01:00,SALE00011727,D0028,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000187,2023-12-04T10:39:00,SALE00011828,D0047,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000188,2023-12-06T08:22:00,SALE00011871,D0007,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000189,2023-12-06T20:46:00,SALE00011876,D0013,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000190,2023-12-07T15:03:00,SALE00011933,D0050,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000191,2023-12-10T18:41:00,SALE00012003,D0003,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000192,2023-12-10T18:58:00,SALE00012009,D0010,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000193,2023-12-11T19:21:00,SALE00012049,D0030,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000194,2023-12-14T16:49:00,SALE00012146,D0014,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000195,2023-12-17T13:10:00,SALE00012277,D0050,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000196,2023-12-18T21:38:00,SALE00012285,D0011,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000197,2023-12-22T20:09:00,SALE00012438,D0035,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000198,2023-12-23T21:38:00,SALE00012474,D0038,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000199,2023-12-25T12:46:00,SALE00012528,D0014,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000200,2023-12-27T15:47:00,SALE00012596,D0003,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000201,2023-12-30T13:16:00,SALE00012709,D0018,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000202,2023-12-30T21:06:00,SALE00012735,D0050,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000203,2023-12-31T18:20:00,SALE00012755,D0030,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
