MovementID,Timestamp,DrugID,BatchID,MovementType,Quantity,ReferenceID,DataSource,DataStatus,NotOperationalEvidence
M000000027,2023-01-01T14:15:00,D0038,B000038,SALE,-3,SALE00000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000028,2023-01-01T08:46:00,D0039,B000039,SALE,-1,SALE00000028,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000029,2023-01-01T08:16:00,D0041,B000041,SALE,-1,SALE00000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000030,2023-01-01T08:33:00,D0042,B000042,SALE,-4,SALE00000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000031,2023-01-01T08:50:00,D0043,B000043,SALE,-7,SALE00000031,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000032,2023-01-01T12:46:00,D0046,B000046,SALE,-3,SALE00000032,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000033,2023-01-01T18:07:00,D0047,B000047,SALE,-1,SALE00000033,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000034,2023-01-01T11:29:00,D0048,B000048,SALE,-6,SALE00000034,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000035,2023-01-01T14:51:00,D0049,B000049,SALE,-1,SALE00000035,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000036,2023-01-01T21:41:00,D0050,B000050,SALE,-2,SALE00000036,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000037,2023-01-02T11:21:00,D0001,B000001,SALE,-10,SALE00000037,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000038,2023-01-02T10:35:00,D0003,B000003,SALE,-2,SALE00000038,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000039,2023-01-02T10:21:00,D0005,B000005,SALE,-6,SALE00000039,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000040,2023-01-02T20:34:00,D0006,B000006,SALE,-2,SALE00000040,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000041,2023-01-02T16:00:00,D0007,B000007,SALE,-4,SALE00000041,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000042,2023-01-02T21:30:00,D0008,B000008,SALE,-1,SALE00000042,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000043,2023-01-02T20:21:00,D0009,B000009,SALE,-10,SALE00000043,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000044,2023-01-02T20:34:00,D0010,B000010,SALE,-1,SALE00000044,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000045,2023-01-02T20:09:00,D0011,B000011,SALE,-3,SALE00000045,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000046,2023-01-02T09:55:00,D0016,B000016,SALE,-5,SALE00000046,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000047,2023-01-02T15:41:00,D0018,B000018,SALE,-7,SALE00000047,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000048,2023-01-02T12:51:00,D0021,B000021,SALE,-7,SALE00000048,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000049,2023-01-02T20:31:00,D0022,B000022,SALE,-1,SALE00000049,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000050,2023-01-02T11:32:00,D0024,B000024,SALE,-3,SALE00000050,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000051,2023-01-02T16:39:00,D0026,B000026,SALE,-1,SALE00000051,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000052,2023-01-02T13:26:00,D0027,B000027,SALE,-12,SALE00000052,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000053,2023-01-02T10:43:00,D0028,B000028,SALE,-1,SALE00000053,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000054,2023-01-02T14:07:00,D0029,B000029,SALE,-4,SALE00000054,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000055,2023-01-02T10:24:00,D0032,B000032,SALE,-3,SALE00000055,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000056,2023-01-02T09:28:00,D0034,B000034,SALE,-1,SALE00000056,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000057,2023-01-02T18:00:00,D0035,B000035,SALE,-3,SALE00000057,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000058,2023-01-02T12:27:00,D0037,B000037,SALE,-1,SALE00000058,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000059,2023-01-02T13:34:00,D0038,B000038,SALE,-3,SALE00000059,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000060,2023-01-02T09:25:00,D0039,B000039,SALE,-1,SALE00000060,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000061,2023-01-02T19:49:00,D0040,B000040,SALE,-1,SALE00000061,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000062,2023-01-02T10:12:00,D0041,B000041,SALE,-2,SALE00000062,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000063,2023-01-02T13:56:00,D0042,B000042,SALE,-7,SALE00000063,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000064,2023-01-02T17:40:00,D0043,B000043,SALE,-6,SALE00000064,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000065,2023-01-02T18:31:00,D0046,B000046,SALE,-5,SALE00000065,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000066,2023-01-02T14:19:00,D0047,B000047,SALE,-1,SALE00000066,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000067,2023-01-02T13:20:00,D0048,B000048,SALE,-8,SALE00000067,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000068,2023-01-02T16:55:00,D0049,B000049,SALE,-1,SALE00000068,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000069,2023-01-02T20:06:00,D0050,B000050,SALE,-4,SALE00000069,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000070,2023-01-03T08:13:00,D0001,B000001,SALE,-6,SALE00000070,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000071,2023-01-03T13:46:00,D0003,B000003,SALE,-2,SALE00000071,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000072,2023-01-03T20:15:00,D0005,B000005,SALE,-6,SALE00000072,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000073,2023-01-03T11:09:00,D0006,B000006,SALE,-2,SALE00000073,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000074,2023-01-03T08:51:00,D0007,B000007,SALE,-3,SALE00000074,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000075,2023-01-03T17:19:00,D0009,B000009,SALE,-5,SALE00000075,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000076,2023-01-03T21:52:00,D0010,B000010,SALE,-2,SALE00000076,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000077,2023-01-03T08:15:00,D0011,B000011,SALE,-7,SALE00000077,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000078,2023-01-03T11:16:00,D0014,B000014,SALE,-1,SALE00000078,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000079,2023-01-03T20:09:00,D0015,B000015,SALE,-1,SALE00000079,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000080,2023-01-03T08:20:00,D0016,B000016,SALE,-6,SALE00000080,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000081,2023-01-03T16:44:00,D0018,B000018,SALE,-10,SALE00000081,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000082,2023-01-03T11:47:00,D0021,B000021,SALE,-10,SALE00000082,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000083,2023-01-03T17:23:00,D0022,B000022,SALE,-1,SALE00000083,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000084,2023-01-03T18:42:00,D0024,B000024,SALE,-1,SALE00000084,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000085,2023-01-03T13:05:00,D0027,B000027,SALE,-5,SALE00000085,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000086,2023-01-03T09:39:00,D0029,B000029,SALE,-7,SALE00000086,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000087,2023-01-03T12:44:00,D0030,B000030,SALE,-1,SALE00000087,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000088,2023-01-03T14:12:00,D0032,B000032,SALE,-2,SALE00000088,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000089,2023-01-03T09:47:00,D0034,B000034,SALE,-2,SALE00000089,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000090,2023-01-03T12:41:00,D0035,B000035,SALE,-4,SALE00000090,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000091,2023-01-03T17:10:00,D0037,B000037,SALE,-1,SALE00000091,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000092,2023-01-03T10:54:00,D0038,B000038,SALE,-2,SALE00000092,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000093,2023-01-03T13:25:00,D0039,B000039,SALE,-1,SALE00000093,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000094,2023-01-03T12:06:00,D0041,B000041,SALE,-1,SALE00000094,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000095,2023-01-03T19:50:00,D0042,B000042,SALE,-6,SALE00000095,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000096,2023-01-03T18:18:00,D0043,B000043,SALE,-12,SALE00000096,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000097,2023-01-03T20:56:00,D0046,B000046,SALE,-4,SALE00000097,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000098,2023-01-03T09:16:00,D0047,B000047,SALE,-1,SALE00000098,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000099,2023-01-03T20:51:00,D0048,B000048,SALE,-9,SALE00000099,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000100,2023-01-03T20:04:00,D0049,B000049,SALE,-1,SALE00000100,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000101,2023-01-03T08:09:00,D0050,B000050,SALE,-4,SALE00000101,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000102,2023-01-04T09:09:00,D0001,B000001,SALE,-5,SALE00000102,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000103,2023-01-04T10:36:00,D0003,B000003,SALE,-2,SALE00000103,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000104,2023-01-04T13:01:00,D0005,B000005,SALE,-5,SALE00000104,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000105,2023-01-04T16:32:00,D0006,B000006,SALE,-3,SALE00000105,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000106,2023-01-04T21:48:00,D0007,B000007,SALE,-3,SALE00000106,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000107,2023-01-04T11:59:00,D0008,B000008,SALE,-1,SALE00000107,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000108,2023-01-04T20:04:00,D0009,B000009,SALE,-3,SALE00000108,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000109,2023-01-04T18:15:00,D0010,B000010,SALE,-1,SALE00000109,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000110,2023-01-04T17:29:00,D0011,B000011,SALE,-7,SALE00000110,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000111,2023-01-04T18:07:00,D0014,B000014,SALE,-1,SALE00000111,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000112,2023-01-04T21:43:00,D0015,B000015,SALE,-1,SALE00000112,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000113,2023-01-04T12:55:00,D0016,B000016,SALE,-6,SALE00000113,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000114,2023-01-04T15:53:00,D0017,B000017,SALE,-1,SALE00000114,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000115,2023-01-04T08:17:00,D0018,B000018,SALE,-16,SALE00000115,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000116,2023-01-04T10:27:00,D0019,B000019,SALE,-1,SALE00000116,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000117,2023-01-04T09:44:00,D0021,B000021,SALE,-7,SALE00000117,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000118,2023-01-04T14:34:00,D0023,B000023,SALE,-1,SALE00000118,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000119,2023-01-04T09:07:00,D0024,B000024,SALE,-2,SALE00000119,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000120,2023-01-04T19:37:00,D0025,B000025,SALE,-1,SALE00000120,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000121,2023-01-04T08:30:00,D0026,B000026,SALE,-1,SALE00000121,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000122,2023-01-04T09:22:00,D0027,B000027,SALE,-10,SALE00000122,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000123,2023-01-04T13:46:00,D0029,B000029,SALE,-4,SALE00000123,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000124,2023-01-04T15:42:00,D0030,B000030,SALE,-1,SALE00000124,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000125,2023-01-04T19:29:00,D0031,B000031,SALE,-1,SALE00000125,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000126,2023-01-04T20:40:00,D0032,B000032,SALE,-4,SALE00000126,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000127,2023-01-04T15:44:00,D0034,B000034,SALE,-1,SALE00000127,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000128,2023-01-04T14:10:00,D0035,B000035,SALE,-5,SALE00000128,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000129,2023-01-04T09:08:00,D0036,B000036,SALE,-1,SALE00000129,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000130,2023-01-04T19:57:00,D0037,B000037,SALE,-1,SALE00000130,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000131,2023-01-04T20:29:00,D0038,B000038,SALE,-2,SALE00000131,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000132,2023-01-04T20:28:00,D0039,B000039,SALE,-1,SALE00000132,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000133,2023-01-04T13:17:00,D0040,B000040,SALE,-1,SALE00000133,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000134,2023-01-04T16:31:00,D0041,B000041,SALE,-1,SALE00000134,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000135,2023-01-04T17:45:00,D0042,B000042,SALE,-7,SALE00000135,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000136,2023-01-04T19:59:00,D0043,B000043,SALE,-6,SALE00000136,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000137,2023-01-04T08:25:00,D0046,B000046,SALE,-4,SALE00000137,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000138,2023-01-04T11:43:00,D0047,B000047,SALE,-1,SALE00000138,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000139,2023-01-04T14:32:00,D0048,B000048,SALE,-7,SALE00000139,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000140,2023-01-04T11:52:00,D0049,B000049,SALE,-1,SALE00000140,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000141,2023-01-04T19:38:00,D0050,B000050,SALE,-3,SALE00000141,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000142,2023-01-05T08:40:00,D0001,B000001,SALE,-4,SALE00000142,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000143,2023-01-05T21:09:00,D0002,B000002,SALE,-1,SALE00000143,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000144,2023-01-05T16:45:00,D0003,B000003,SALE,-2,SALE00000144,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000145,2023-01-05T15:31:00,D0005,B000005,SALE,-6,SALE00000145,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000146,2023-01-05T17:31:00,D0006,B000006,SALE,-1,SALE00000146,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000147,2023-01-05T12:09:00,D0007,B000007,SALE,-3,SALE00000147,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000148,2023-01-05T11:52:00,D0008,B000008,SALE,-1,SALE00000148,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000149,2023-01-05T13:06:00,D0009,B000009,SALE,-5,SALE00000149,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000150,2023-01-05T09:50:00,D0010,B000010,SALE,-1,SALE00000150,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000151,2023-01-05T11:10:00,D0011,B000011,SALE,-4,SALE00000151,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000152,2023-01-05T18:23:00,D0012,B000012,SALE,-1,SALE00000152,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000153,2023-01-05T17:39:00,D0013,B000013,SALE,-1,SALE00000153,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000154,2023-01-05T12:24:00,D0014,B000014,SALE,-1,SALE00000154,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000155,2023-01-05T14:13:00,D0015,B000015,SALE,-1,SALE00000155,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000156,2023-01-05T20:49:00,D0016,B000016,SALE,-6,SALE00000156,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000157,2023-01-05T18:49:00,D0017,B000017,SALE,-1,SALE00000157,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000158,2023-01-05T18:39:00,D0018,B000018,SALE,-8,SALE00000158,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000159,2023-01-05T16:15:00,D0021,B000021,SALE,-8,SALE00000159,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000160,2023-01-05T15:17:00,D0022,B000022,SALE,-1,SALE00000160,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000161,2023-01-05T10:32:00,D0024,B000024,SALE,-3,SALE00000161,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000162,2023-01-05T20:41:00,D0026,B000026,SALE,-1,SALE00000162,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000163,2023-01-05T10:16:00,D0027,B000027,SALE,-8,SALE00000163,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000164,2023-01-05T14:12:00,D0028,B000028,SALE,-1,SALE00000164,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000165,2023-01-05T09:58:00,D0029,B000029,SALE,-5,SALE00000165,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000166,2023-01-05T09:19:00,D0030,B000030,SALE,-1,SALE00000166,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000167,2023-01-05T08:34:00,D0032,B000032,SALE,-3,SALE00000167,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000168,2023-01-05T10:20:00,D0033,B000033,SALE,-1,SALE00000168,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000169,2023-01-05T09:47:00,D0034,B000034,SALE,-3,SALE00000169,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000170,2023-01-05T12:54:00,D0035,B000035,SALE,-8,SALE00000170,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000171,2023-01-05T19:09:00,D0037,B000037,SALE,-1,SALE00000171,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000172,2023-01-05T21:50:00,D0038,B000038,SALE,-3,SALE00000172,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000173,2023-01-05T12:48:00,D0041,B000041,SALE,-1,SALE00000173,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000174,2023-01-05T10:15:00,D0042,B000042,SALE,-8,SALE00000174,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000175,2023-01-05T19:43:00,D0043,B000043,SALE,-8,SALE00000175,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000176,2023-01-05T17:22:00,D0046,B000046,SALE,-4,SALE00000176,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000177,2023-01-05T11:51:00,D0047,B000047,SALE,-1,SALE00000177,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000178,2023-01-05T15:24:00,D0048,B000048,SALE,-7,SALE00000178,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000179,2023-01-05T08:20:00,D0049,B000049,SALE,-1,SALE00000179,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000180,2023-01-05T19:15:00,D0050,B000050,SALE,-2,SALE00000180,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000181,2023-01-06T13:06:00,D0001,B000001,SALE,-15,SALE00000181,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000182,2023-01-06T15:55:00,D0003,B000003,SALE,-3,SALE00000182,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000183,2023-01-06T21:48:00,D0005,B000005,SALE,-8,SALE00000183,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000184,2023-01-06T18:54:00,D0006,B000006,SALE,-1,SALE00000184,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000185,2023-01-06T19:59:00,D0007,B000007,SALE,-3,SALE00000185,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000186,2023-01-06T16:27:00,D0008,B000008,SALE,-1,SALE00000186,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000187,2023-01-06T10:03:00,D0009,B000009,SALE,-5,SALE00000187,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000188,2023-01-06T12:11:00,D0010,B000010,SALE,-1,SALE00000188,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000189,2023-01-06T15:50:00,D0011,B000011,SALE,-5,SALE00000189,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000190,2023-01-06T13:20:00,D0014,B000014,SALE,-1,SALE00000190,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000191,2023-01-06T08:27:00,D0016,B000016,SALE,-9,SALE00000191,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000192,2023-01-06T21:31:00,D0018,B000018,SALE,-8,SALE00000192,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000193,2023-01-06T20:07:00,D0020,B000020,SALE,-1,SALE00000193,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000194,2023-01-06T11:48:00,D0021,B000021,SALE,-7,SALE00000194,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000195,2023-01-06T21:56:00,D0022,B000022,SALE,-1,SALE00000195,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000196,2023-01-06T17:26:00,D0024,B000024,SALE,-3,SALE00000196,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000197,2023-01-06T21:52:00,D0027,B000027,SALE,-9,SALE00000197,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000198,2023-01-06T08:12:00,D0029,B000029,SALE,-3,SALE00000198,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000199,2023-01-06T08:17:00,D0030,B000030,SALE,-1,SALE00000199,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000200,2023-01-06T20:31:00,D0032,B000032,SALE,-3,SALE00000200,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000201,2023-01-06T08:19:00,D0033,B000033,SALE,-1,SALE00000201,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
