PurchaseID,OrderDate,DrugID,SupplierID,OrderQuantity,UnitCost,TotalCost,DataSource,DataStatus,NotOperationalEvidence
P0000035,2023-04-08,D0005,S008,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000036,2023-04-10,D0035,S002,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000037,2023-04-11,D0046,S004,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000038,2023-04-13,D0050,S006,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000039,2023-04-17,D0033,S010,50,50.94,2547.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000040,2023-04-17,D0048,S003,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000041,2023-04-23,D0029,S001,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000042,2023-04-24,D0018,S006,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000043,2023-04-25,D0006,S001,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000044,2023-04-26,D0016,S004,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000045,2023-04-30,D0042,S005,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000046,2023-05-01,D0003,S003,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000047,2023-05-05,D0021,S006,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000048,2023-05-05,D0027,S006,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000049,2023-05-06,D0049,S005,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000050,2023-05-07,D0001,S004,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000051,2023-05-09,D0022,S008,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000052,2023-05-09,D0038,S002,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000053,2023-05-11,D0037,S008,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000054,2023-05-12,D0009,S007,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000055,2023-05-16,D0043,S003,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000056,2023-05-18,D0007,S004,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000057,2023-05-21,D0011,S005,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000058,2023-05-24,D0005,S004,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000059,2023-05-25,D0046,S005,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000060,2023-05-29,D0032,S006,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000061,2023-05-30,D0048,S001,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000062,2023-06-01,D0035,S006,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000063,2023-06-01,D0050,S004,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000064,2023-06-12,D0018,S007,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000065,2023-06-14,D0006,S009,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000066,2023-06-14,D0029,S004,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000067,2023-06-16,D0003,S007,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000068,2023-06-17,D0016,S003,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000069,2023-06-19,D0042,S005,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000070,2023-06-26,D0021,S007,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000071,2023-06-27,D0027,S004,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000072,2023-06-30,D0033,S005,50,50.94,2547.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000073,2023-06-30,D0049,S010,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000074,2023-07-04,D0009,S006,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000075,2023-07-05,D0038,S006,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000076,2023-07-06,D0001,S008,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000077,2023-07-06,D0031,S009,50,59.64,2982.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000078,2023-07-09,D0024,S004,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000079,2023-07-15,D0005,S005,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000080,2023-07-15,D0043,S003,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000081,2023-07-16,D0007,S003,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000082,2023-07-16,D0037,S002,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000083,2023-07-18,D0011,S010,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000084,2023-07-23,D0046,S009,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000085,2023-07-24,D0048,S008,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000086,2023-07-27,D0032,S009,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000087,2023-07-31,D0035,S009,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000088,2023-08-01,D0050,S003,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000089,2023-08-03,D0022,S010,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000090,2023-08-11,D0006,S001,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000091,2023-08-11,D0047,S007,52,27.69,1439.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000092,2023-08-12,D0003,S006,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000093,2023-08-12,D0018,S006,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000094,2023-08-13,D0029,S005,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000095,2023-08-19,D0042,S005,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000096,2023-08-21,D0016,S007,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000097,2023-08-30,D0021,S006,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000098,2023-09-02,D0027,S006,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000099,2023-09-04,D0009,S002,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000100,2023-09-04,D0034,S004,95,28.69,2725.55,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000101,2023-09-04,D0049,S004,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000102,2023-09-10,D0001,S005,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000103,2023-09-12,D0038,S005,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000104,2023-09-19,D0024,S005,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000105,2023-09-23,D0037,S010,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000106,2023-09-23,D0043,S004,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000107,2023-09-25,D0007,S002,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000108,2023-09-29,D0005,S009,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000109,2023-10-03,D0011,S004,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000110,2023-10-07,D0048,S005,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000111,2023-10-08,D0046,S001,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000112,2023-10-11,D0035,S003,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000113,2023-10-12,D0032,S008,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000114,2023-10-19,D0050,S003,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000115,2023-10-25,D0003,S003,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000116,2023-10-25,D0006,S008,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000117,2023-10-25,D0018,S004,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000118,2023-10-26,D0047,S010,52,27.69,1439.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000119,2023-10-28,D0029,S004,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000120,2023-11-02,D0042,S008,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000121,2023-11-03,D0022,S008,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000122,2023-11-08,D0016,S002,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000123,2023-11-08,D0033,S007,50,50.94,2547.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000124,2023-11-13,D0021,S008,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000125,2023-11-16,D0009,S007,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000126,2023-11-17,D0014,S007,50,17.01,850.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000127,2023-11-17,D0027,S008,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000128,2023-11-18,D0049,S009,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000129,2023-11-20,D0034,S007,95,28.69,2725.55,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000130,2023-11-23,D0001,S001,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000131,2023-11-25,D0024,S003,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000132,2023-11-25,D0031,S001,50,59.64,2982.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000133,2023-11-27,D0038,S002,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000134,2023-12-04,D0037,S004,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000135,2023-12-05,D0010,S007,51,39.17,1997.67,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000136,2023-12-09,D0007,S002,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000137,2023-12-11,D0005,S008,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000138,2023-12-13,D0043,S009,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000139,2023-12-19,D0011,S007,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000140,2023-12-20,D0035,S002,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000141,2023-12-20,D0046,S002,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000142,2023-12-23,D0048,S001,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000143,2023-12-25,D0032,S003,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000144,2023-12-31,D0003,S003,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000145,2023-12-31,D0017,S002,50,38.03,1901.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000146,2023-12-31,D0029,S010,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000147,2024-01-01,D0006,S009,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000148,2024-01-01,D0050,S009,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000149,2024-01-02,D0018,S008,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000150,2024-01-08,D0042,S005,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000151,2024-01-08,D0047,S008,52,27.69,1439.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000152,2024-01-09,D0016,S002,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000153,2024-01-13,D0009,S002,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000154,2024-01-14,D0021,S001,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000155,2024-01-18,D0049,S007,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000156,2024-01-21,D0027,S010,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000157,2024-01-22,D0024,S003,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000158,2024-01-22,D0034,S010,95,28.69,2725.55,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000159,2024-01-24,D0001,S003,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000160,2024-01-26,D0038,S008,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000161,2024-01-29,D0043,S010,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000162,2024-01-30,D0014,S001,50,17.01,850.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000163,2024-02-02,D0037,S008,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000164,2024-02-05,D0007,S004,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000165,2024-02-05,D0035,S008,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000166,2024-02-06,D0005,S009,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000167,2024-02-07,D0010,S003,51,39.17,1997.67,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000168,2024-02-09,D0033,S008,50,50.94,2547.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000169,2024-02-13,D0022,S009,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000170,2024-02-13,D0030,S001,56,24.48,1370.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000171,2024-02-15,D0046,S002,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000172,2024-02-17,D0011,S009,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000173,2024-02-18,D0048,S007,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000174,2024-02-21,D0003,S007,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000175,2024-02-21,D0039,S007,53,47.42,2513.26,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000176,2024-02-21,D0047,S002,52,27.69,1439.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000177,2024-02-22,D0029,S004,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000178,2024-02-22,D0032,S003,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000179,2024-02-23,D0006,S005,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000180,2024-02-23,D0041,S008,53,77.08,4085.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000181,2024-02-26,D0016,S003,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000182,2024-02-26,D0017,S002,50,38.03,1901.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000183,2024-02-26,D0018,S002,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000184,2024-02-26,D0042,S008,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000185,2024-02-27,D0049,S010,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000186,2024-02-27,D0050,S002,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000187,2024-02-28,D0008,S003,50,49.74,2487.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000188,2024-03-04,D0009,S005,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000189,2024-03-05,D0021,S007,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000190,2024-03-08,D0027,S006,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000191,2024-03-14,D0034,S003,95,28.69,2725.55,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000192,2024-03-15,D0001,S002,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000193,2024-03-16,D0024,S007,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000194,2024-03-17,D0038,S005,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000195,2024-03-18,D0043,S008,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000196,2024-03-21,D0007,S007,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000197,2024-03-26,D0005,S003,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000198,2024-03-27,D0014,S008,50,17.01,850.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000199,2024-03-27,D0031,S006,50,59.64,2982.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000200,2024-03-28,D0035,S007,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000201,2024-03-28,D0037,S003,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000202,2024-03-29,D0010,S008,51,39.17,1997.67,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000203,2024-04-01,D0030,S003,56,24.48,1370.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000204,2024-04-02,D0011,S001,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000205,2024-04-03,D0003,S007,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000206,2024-04-06,D0046,S005,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000207,2024-04-06,D0048,S005,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000208,2024-04-08,D0029,S007,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000209,2024-04-10,D0006,S004,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000210,2024-04-10,D0042,S005,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000211,2024-04-10,D0047,S010,52,27.69,1439.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000212,2024-04-11,D0009,S008,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000213,2024-04-11,D0032,S005,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000214,2024-04-12,D0039,S002,53,47.42,2513.26,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000215,2024-04-12,D0041,S006,53,77.08,4085.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000216,2024-04-13,D0016,S003,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000217,2024-04-14,D0049,S003,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000218,2024-04-15,D0033,S010,50,50.94,2547.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000219,2024-04-17,D0050,S008,187,18.95,3543.65,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000220,2024-04-18,D0017,S010,50,38.03,1901.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000221,2024-04-18,D0022,S006,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000222,2024-04-20,D0018,S004,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000223,2024-04-22,D0021,S010,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000224,2024-04-22,D0027,S003,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000225,2024-04-26,D0008,S010,50,49.74,2487.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000226,2024-04-27,D0001,S001,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000227,2024-05-03,D0038,S009,155,2.97,460.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000228,2024-05-04,D0043,S005,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000229,2024-05-05,D0034,S004,95,28.69,2725.55,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000230,2024-05-06,D0024,S006,107,21.32,2281.24,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000231,2024-05-07,D0037,S010,52,37.45,1947.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000232,2024-05-10,D0007,S001,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000233,2024-05-13,D0030,S005,56,24.48,1370.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000234,2024-05-15,D0005,S010,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000235,2024-05-15,D0010,S008,51,39.17,1997.67,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
