RequestID,Timestamp,DrugID,RequestedQuantity,FulfilledQuantity,UnfulfilledQuantity,DataSource,DataStatus,NotOperationalEvidence
R00000021,2023-01-01,D0029,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000022,2023-01-01,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000023,2023-01-01,D0032,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000024,2023-01-01,D0034,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000025,2023-01-01,D0035,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000026,2023-01-01,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000027,2023-01-01,D0038,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000028,2023-01-01,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000029,2023-01-01,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000030,2023-01-01,D0042,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000031,2023-01-01,D0043,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000032,2023-01-01,D0046,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000033,2023-01-01,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000034,2023-01-01,D0048,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000035,2023-01-01,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000036,2023-01-01,D0050,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000037,2023-01-02,D0001,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000038,2023-01-02,D0003,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000039,2023-01-02,D0005,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000040,2023-01-02,D0006,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000041,2023-01-02,D0007,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000042,2023-01-02,D0008,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000043,2023-01-02,D0009,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000044,2023-01-02,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000045,2023-01-02,D0011,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000046,2023-01-02,D0016,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000047,2023-01-02,D0018,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000048,2023-01-02,D0021,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000049,2023-01-02,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000050,2023-01-02,D0024,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000051,2023-01-02,D0026,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000052,2023-01-02,D0027,12,12,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000053,2023-01-02,D0028,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000054,2023-01-02,D0029,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000055,2023-01-02,D0032,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000056,2023-01-02,D0034,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000057,2023-01-02,D0035,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000058,2023-01-02,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000059,2023-01-02,D0038,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000060,2023-01-02,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000061,2023-01-02,D0040,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000062,2023-01-02,D0041,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000063,2023-01-02,D0042,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000064,2023-01-02,D0043,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000065,2023-01-02,D0046,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000066,2023-01-02,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000067,2023-01-02,D0048,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000068,2023-01-02,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000069,2023-01-02,D0050,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000070,2023-01-03,D0001,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000071,2023-01-03,D0003,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000072,2023-01-03,D0005,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000073,2023-01-03,D0006,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000074,2023-01-03,D0007,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000075,2023-01-03,D0009,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000076,2023-01-03,D0010,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000077,2023-01-03,D0011,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000078,2023-01-03,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000079,2023-01-03,D0015,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000080,2023-01-03,D0016,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000081,2023-01-03,D0018,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000082,2023-01-03,D0021,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000083,2023-01-03,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000084,2023-01-03,D0024,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000085,2023-01-03,D0027,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000086,2023-01-03,D0029,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000087,2023-01-03,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000088,2023-01-03,D0032,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000089,2023-01-03,D0034,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000090,2023-01-03,D0035,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000091,2023-01-03,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000092,2023-01-03,D0038,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000093,2023-01-03,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000094,2023-01-03,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000095,2023-01-03,D0042,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000096,2023-01-03,D0043,12,12,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000097,2023-01-03,D0046,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000098,2023-01-03,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000099,2023-01-03,D0048,9,9,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000100,2023-01-03,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000101,2023-01-03,D0050,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000102,2023-01-04,D0001,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000103,2023-01-04,D0003,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000104,2023-01-04,D0005,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000105,2023-01-04,D0006,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000106,2023-01-04,D0007,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000107,2023-01-04,D0008,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000108,2023-01-04,D0009,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000109,2023-01-04,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000110,2023-01-04,D0011,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000111,2023-01-04,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000112,2023-01-04,D0015,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000113,2023-01-04,D0016,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000114,2023-01-04,D0017,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000115,2023-01-04,D0018,16,16,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000116,2023-01-04,D0019,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000117,2023-01-04,D0021,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000118,2023-01-04,D0023,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000119,2023-01-04,D0024,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000120,2023-01-04,D0025,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000121,2023-01-04,D0026,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000122,2023-01-04,D0027,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000123,2023-01-04,D0029,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000124,2023-01-04,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000125,2023-01-04,D0031,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000126,2023-01-04,D0032,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000127,2023-01-04,D0034,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000128,2023-01-04,D0035,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000129,2023-01-04,D0036,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000130,2023-01-04,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000131,2023-01-04,D0038,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000132,2023-01-04,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000133,2023-01-04,D0040,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000134,2023-01-04,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000135,2023-01-04,D0042,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000136,2023-01-04,D0043,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000137,2023-01-04,D0046,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000138,2023-01-04,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000139,2023-01-04,D0048,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000140,2023-01-04,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000141,2023-01-04,D0050,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000142,2023-01-05,D0001,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000143,2023-01-05,D0002,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000144,2023-01-05,D0003,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000145,2023-01-05,D0005,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000146,2023-01-05,D0006,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000147,2023-01-05,D0007,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000148,2023-01-05,D0008,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000149,2023-01-05,D0009,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000150,2023-01-05,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000151,2023-01-05,D0011,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000152,2023-01-05,D0012,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000153,2023-01-05,D0013,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000154,2023-01-05,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000155,2023-01-05,D0015,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000156,2023-01-05,D0016,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000157,2023-01-05,D0017,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000158,2023-01-05,D0018,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000159,2023-01-05,D0021,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000160,2023-01-05,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000161,2023-01-05,D0024,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000162,2023-01-05,D0026,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000163,2023-01-05,D0027,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000164,2023-01-05,D0028,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000165,2023-01-05,D0029,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000166,2023-01-05,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000167,2023-01-05,D0032,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000168,2023-01-05,D0033,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000169,2023-01-05,D0034,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000170,2023-01-05,D0035,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000171,2023-01-05,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000172,2023-01-05,D0038,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000173,2023-01-05,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000174,2023-01-05,D0042,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000175,2023-01-05,D0043,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000176,2023-01-05,D0046,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000177,2023-01-05,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000178,2023-01-05,D0048,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000179,2023-01-05,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000180,2023-01-05,D0050,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000181,2023-01-06,D0001,15,15,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000182,2023-01-06,D0003,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000183,2023-01-06,D0005,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000184,2023-01-06,D0006,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000185,2023-01-06,D0007,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000186,2023-01-06,D0008,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000187,2023-01-06,D0009,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000188,2023-01-06,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000189,2023-01-06,D0011,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000190,2023-01-06,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000191,2023-01-06,D0016,9,9,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000192,2023-01-06,D0018,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000193,2023-01-06,D0020,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000194,2023-01-06,D0021,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000195,2023-01-06,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000196,2023-01-06,D0024,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000197,2023-01-06,D0027,9,9,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000198,2023-01-06,D0029,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000199,2023-01-06,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000200,2023-01-06,D0032,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000201,2023-01-06,D0033,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000202,2023-01-06,D0034,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000203,2023-01-06,D0035,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000204,2023-01-06,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000205,2023-01-06,D0038,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000206,2023-01-06,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000207,2023-01-06,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000208,2023-01-06,D0042,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000209,2023-01-06,D0043,9,9,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000210,2023-01-06,D0045,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000211,2023-01-06,D0046,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000212,2023-01-06,D0047,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000213,2023-01-06,D0048,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000214,2023-01-06,D0049,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000215,2023-01-06,D0050,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000216,2023-01-07,D0001,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000217,2023-01-07,D0003,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000218,2023-01-07,D0005,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000219,2023-01-07,D0006,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000220,2023-01-07,D0007,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000221,2023-01-07,D0009,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000222,2023-01-07,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000223,2023-01-07,D0011,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000224,2023-01-07,D0012,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000225,2023-01-07,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000226,2023-01-07,D0016,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000227,2023-01-07,D0018,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000228,2023-01-07,D0021,9,9,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000229,2023-01-07,D0024,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000230,2023-01-07,D0027,10,10,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000231,2023-01-07,D0029,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000232,2023-01-07,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000233,2023-01-07,D0032,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000234,2023-01-07,D0033,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000235,2023-01-07,D0034,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000236,2023-01-07,D0035,6,6,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000237,2023-01-07,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000238,2023-01-07,D0038,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000239,2023-01-07,D0039,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000240,2023-01-07,D0040,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000241,2023-01-07,D0041,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000242,2023-01-07,D0042,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000243,2023-01-07,D0043,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000244,2023-01-07,D0046,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000245,2023-01-07,D0048,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000246,2023-01-07,D0049,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000247,2023-01-07,D0050,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000248,2023-01-08,D0001,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000249,2023-01-08,D0003,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000250,2023-01-08,D0005,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000251,2023-01-08,D0006,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000252,2023-01-08,D0007,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000253,2023-01-08,D0008,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000254,2023-01-08,D0009,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000255,2023-01-08,D0011,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000256,2023-01-08,D0013,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000257,2023-01-08,D0016,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000258,2023-01-08,D0017,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000259,2023-01-08,D0018,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000260,2023-01-08,D0021,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000261,2023-01-08,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000262,2023-01-08,D0024,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000263,2023-01-08,D0027,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000264,2023-01-08,D0028,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000265,2023-01-08,D0029,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000266,2023-01-08,D0030,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000267,2023-01-08,D0032,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000268,2023-01-08,D0034,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000269,2023-01-08,D0035,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000270,2023-01-08,D0037,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000271,2023-01-08,D0038,2,2,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
