DeliveryID,PurchaseID,DrugID,SupplierID,OrderDate,DeliveryDate,LeadTimeDays,OrderedQuantity,ReceivedQuantity,OnTime,DataSource,DataStatus,NotOperationalEvidence
DEL0000054,P0000054,D0009,S007,2023-05-12,2023-05-14,2,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000055,P0000055,D0043,S003,2023-05-16,2023-05-21,5,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000056,P0000056,D0007,S004,2023-05-18,2023-05-28,10,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000057,P0000057,D0011,S005,2023-05-21,2023-05-23,2,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000058,P0000058,D0005,S004,2023-05-24,2023-05-30,6,318,318,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000059,P0000059,D0046,S005,2023-05-25,2023-05-27,2,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000060,P0000060,D0032,S006,2023-05-29,2023-06-15,17,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000061,P0000061,D0048,S001,2023-05-30,2023-06-09,10,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000062,P0000062,D0035,S006,2023-06-01,2023-06-05,4,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000063,P0000063,D0050,S004,2023-06-01,2023-06-13,12,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000064,P0000064,D0018,S007,2023-06-12,2023-06-15,3,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000065,P0000065,D0006,S009,2023-06-14,2023-06-18,4,108,93,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000066,P0000066,D0029,S004,2023-06-14,2023-06-21,7,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000067,P0000067,D0003,S007,2023-06-16,2023-06-18,2,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000068,P0000068,D0016,S003,2023-06-17,2023-06-27,10,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000069,P0000069,D0042,S005,2023-06-19,2023-06-24,5,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000070,P0000070,D0021,S007,2023-06-26,2023-06-28,2,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000071,P0000071,D0027,S004,2023-06-27,2023-07-03,6,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000072,P0000072,D0033,S005,2023-06-30,2023-07-03,3,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000073,P0000073,D0049,S010,2023-06-30,2023-07-11,11,88,88,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000074,P0000074,D0009,S006,2023-07-04,2023-07-20,16,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000075,P0000075,D0038,S006,2023-07-05,2023-07-12,7,155,155,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000076,P0000076,D0001,S008,2023-07-06,2023-07-10,4,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000077,P0000077,D0031,S009,2023-07-06,2023-07-12,6,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000078,P0000078,D0024,S004,2023-07-09,2023-07-19,10,107,107,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000079,P0000079,D0005,S005,2023-07-15,2023-07-22,7,318,318,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000080,P0000080,D0043,S003,2023-07-15,2023-07-21,6,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000081,P0000081,D0007,S003,2023-07-16,2023-07-23,7,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000082,P0000082,D0037,S002,2023-07-16,2023-07-24,8,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000083,P0000083,D0011,S010,2023-07-18,2023-07-29,11,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000084,P0000084,D0046,S009,2023-07-23,2023-07-26,3,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000085,P0000085,D0048,S008,2023-07-24,2023-07-27,3,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000086,P0000086,D0032,S009,2023-07-27,2023-08-02,6,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000087,P0000087,D0035,S009,2023-07-31,2023-08-07,7,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000088,P0000088,D0050,S003,2023-08-01,2023-08-08,7,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000089,P0000089,D0022,S010,2023-08-03,2023-08-15,12,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000090,P0000090,D0006,S001,2023-08-11,2023-08-20,9,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000091,P0000091,D0047,S007,2023-08-11,2023-08-13,2,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000092,P0000092,D0003,S006,2023-08-12,2023-08-25,13,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000093,P0000093,D0018,S006,2023-08-12,2023-08-23,11,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000094,P0000094,D0029,S005,2023-08-13,2023-08-19,6,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000095,P0000095,D0042,S005,2023-08-19,2023-08-21,2,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000096,P0000096,D0016,S007,2023-08-21,2023-08-23,2,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000097,P0000097,D0021,S006,2023-08-30,2023-09-12,13,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000098,P0000098,D0027,S006,2023-09-02,2023-09-23,21,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000099,P0000099,D0009,S002,2023-09-04,2023-09-11,7,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000100,P0000100,D0034,S004,2023-09-04,2023-09-13,9,95,95,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000101,P0000101,D0049,S004,2023-09-04,2023-09-09,5,88,88,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000102,P0000102,D0001,S005,2023-09-10,2023-09-12,2,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000103,P0000103,D0038,S005,2023-09-12,2023-09-19,7,155,155,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000104,P0000104,D0024,S005,2023-09-19,2023-09-22,3,107,107,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000105,P0000105,D0037,S010,2023-09-23,2023-10-04,11,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000106,P0000106,D0043,S004,2023-09-23,2023-09-30,7,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000107,P0000107,D0007,S002,2023-09-25,2023-10-07,12,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000108,P0000108,D0005,S009,2023-09-29,2023-10-02,3,318,318,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000109,P0000109,D0011,S004,2023-10-03,2023-10-11,8,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000110,P0000110,D0048,S005,2023-10-07,2023-10-09,2,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000111,P0000111,D0046,S001,2023-10-08,2023-10-17,9,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000112,P0000112,D0035,S003,2023-10-11,2023-10-17,6,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000113,P0000113,D0032,S008,2023-10-12,2023-10-14,2,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000114,P0000114,D0050,S003,2023-10-19,2023-10-27,8,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000115,P0000115,D0003,S003,2023-10-25,2023-10-30,5,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000116,P0000116,D0006,S008,2023-10-25,2023-10-27,2,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000117,P0000117,D0018,S004,2023-10-25,2023-11-03,9,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000118,P0000118,D0047,S010,2023-10-26,2023-11-07,12,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000119,P0000119,D0029,S004,2023-10-28,2023-11-05,8,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000120,P0000120,D0042,S008,2023-11-02,2023-11-04,2,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000121,P0000121,D0022,S008,2023-11-03,2023-11-07,4,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000122,P0000122,D0016,S002,2023-11-08,2023-11-22,14,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000123,P0000123,D0033,S007,2023-11-08,2023-11-11,3,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000124,P0000124,D0021,S008,2023-11-13,2023-11-18,5,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000125,P0000125,D0009,S007,2023-11-16,2023-11-20,4,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000126,P0000126,D0014,S007,2023-11-17,2023-11-19,2,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000127,P0000127,D0027,S008,2023-11-17,2023-11-20,3,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000128,P0000128,D0049,S009,2023-11-18,2023-11-25,7,88,88,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000129,P0000129,D0034,S007,2023-11-20,2023-11-22,2,95,95,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000130,P0000130,D0001,S001,2023-11-23,2023-12-03,10,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000131,P0000131,D0024,S003,2023-11-25,2023-12-02,7,107,107,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000132,P0000132,D0031,S001,2023-11-25,2023-12-10,15,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000133,P0000133,D0038,S002,2023-11-27,2023-12-04,7,155,155,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000134,P0000134,D0037,S004,2023-12-04,2023-12-16,12,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000135,P0000135,D0010,S007,2023-12-05,2023-12-07,2,51,51,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000136,P0000136,D0007,S002,2023-12-09,2023-12-17,8,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000137,P0000137,D0005,S008,2023-12-11,2023-12-13,2,318,318,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000138,P0000138,D0043,S009,2023-12-13,2023-12-21,8,455,376,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000139,P0000139,D0011,S007,2023-12-19,2023-12-21,2,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000140,P0000140,D0035,S002,2023-12-20,2024-01-03,14,296,237,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000141,P0000141,D0046,S002,2023-12-20,2023-12-31,11,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000142,P0000142,D0048,S001,2023-12-23,2024-01-04,12,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000143,P0000143,D0032,S003,2023-12-25,2024-01-02,8,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000144,P0000144,D0003,S003,2023-12-31,2024-01-09,9,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000145,P0000145,D0017,S002,2023-12-31,2024-01-12,12,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000146,P0000146,D0029,S010,2023-12-31,2024-01-12,12,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000147,P0000147,D0006,S009,2024-01-01,2024-01-07,6,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000148,P0000148,D0050,S009,2024-01-01,2024-01-06,5,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000149,P0000149,D0018,S008,2024-01-02,2024-01-11,9,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000150,P0000150,D0042,S005,2024-01-08,2024-01-15,7,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000151,P0000151,D0047,S008,2024-01-08,2024-01-10,2,52,41,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000152,P0000152,D0016,S002,2024-01-09,2024-01-16,7,389,356,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000153,P0000153,D0009,S002,2024-01-13,2024-01-26,13,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000154,P0000154,D0021,S001,2024-01-14,2024-01-23,9,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000155,P0000155,D0049,S007,2024-01-18,2024-01-23,5,88,77,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000156,P0000156,D0027,S010,2024-01-21,2024-01-31,10,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000157,P0000157,D0024,S003,2024-01-22,2024-02-01,10,107,107,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000158,P0000158,D0034,S010,2024-01-22,2024-02-01,10,95,95,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000159,P0000159,D0001,S003,2024-01-24,2024-02-03,10,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000160,P0000160,D0038,S008,2024-01-26,2024-01-28,2,155,155,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000161,P0000161,D0043,S010,2024-01-29,2024-02-07,9,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000162,P0000162,D0014,S001,2024-01-30,2024-02-12,13,50,44,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000163,P0000163,D0037,S008,2024-02-02,2024-02-04,2,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000164,P0000164,D0007,S004,2024-02-05,2024-02-11,6,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000165,P0000165,D0035,S008,2024-02-05,2024-02-07,2,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000166,P0000166,D0005,S009,2024-02-06,2024-02-13,7,318,318,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000167,P0000167,D0010,S003,2024-02-07,2024-02-11,4,51,51,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000168,P0000168,D0033,S008,2024-02-09,2024-02-11,2,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000169,P0000169,D0022,S009,2024-02-13,2024-02-15,2,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000170,P0000170,D0030,S001,2024-02-13,2024-02-22,9,56,56,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000171,P0000171,D0046,S002,2024-02-15,2024-02-24,9,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000172,P0000172,D0011,S009,2024-02-17,2024-02-23,6,279,236,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000173,P0000173,D0048,S007,2024-02-18,2024-02-20,2,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000174,P0000174,D0003,S007,2024-02-21,2024-02-23,2,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000175,P0000175,D0039,S007,2024-02-21,2024-02-23,2,53,53,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000176,P0000176,D0047,S002,2024-02-21,2024-03-02,10,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000177,P0000177,D0029,S004,2024-02-22,2024-03-03,10,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000178,P0000178,D0032,S003,2024-02-22,2024-02-28,6,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000179,P0000179,D0006,S005,2024-02-23,2024-02-28,5,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000180,P0000180,D0041,S008,2024-02-23,2024-02-25,2,53,53,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000181,P0000181,D0016,S003,2024-02-26,2024-03-01,4,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000182,P0000182,D0017,S002,2024-02-26,2024-03-08,11,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000183,P0000183,D0018,S002,2024-02-26,2024-03-07,10,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000184,P0000184,D0042,S008,2024-02-26,2024-03-03,6,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000185,P0000185,D0049,S010,2024-02-27,2024-03-10,12,88,81,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000186,P0000186,D0050,S002,2024-02-27,2024-03-04,6,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000187,P0000187,D0008,S003,2024-02-28,2024-03-07,8,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000188,P0000188,D0009,S005,2024-03-04,2024-03-06,2,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000189,P0000189,D0021,S007,2024-03-05,2024-03-12,7,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
