
PHARMACY REPORT V12
DATE: 2026-06-16T15:04:56.826Z

--- INVENTORY ---
Acetylcysteine | Qty:180 | Price:6.5 | Exp:2027-10-31
Clotrimazole | Qty:200 | Price:4.5 | Exp:2027-11-01
Codeine | Qty:100 | Price:8.5 | Exp:2027-12-15
Colchicine | Qty:120 | Price:5.5 | Exp:2027-10-20
Diazepam | Qty:100 | Price:8 | Exp:2027-10-15
Diclofenac | Qty:300 | Price:5.5 | Exp:2027-10-10
Domperidone | Qty:180 | Price:4.5 | Exp:2027-10-31
Doxycycline | Qty:220 | Price:6.5 | Exp:2027-10-15
Duloxetine | Qty:120 | Price:14 | Exp:2027-11-15
Enalapril | Qty:300 | Price:4.5 | Exp:2027-11-15
Esomeprazole | Qty:150 | Price:9 | Exp:2027-09-30
FerrousSulphate | Qty:300 | Price:2.5 | Exp:2027-10-31
Fluconazole | Qty:150 | Price:8.5 | Exp:2027-10-31
Fluoxetine | Qty:180 | Price:8.5 | Exp:2027-10-20
FolicAcid | Qty:350 | Price:1.5 | Exp:2028-01-15
Furosemide | Qty:200 | Price:3 | Exp:2027-08-15
Gabapentin | Qty:180 | Price:12.5 | Exp:2027-11-30
Gentamicin | Qty:120 | Price:8 | Exp:2027-10-31
Glibenclamide | Qty:300 | Price:2.5 | Exp:2027-11-20
Gliclazide | Qty:250 | Price:5.5 | Exp:2027-12-10
Guaifenesin | Qty:220 | Price:4.5 | Exp:2027-10-15
Haloperidol | Qty:120 | Price:6 | Exp:2027-09-30
Hydrochlorothiazide | Qty:220 | Price:3.5 | Exp:2027-10-31
Hydrocortisone | Qty:100 | Price:8.5 | Exp:2027-10-30
Hydroxychloroquine | Qty:180 | Price:12 | Exp:2027-12-31
HyoscineButylbromide | Qty:120 | Price:5.5 | Exp:2027-12-15
Ibuprofen | Qty:450 | Price:3 | Exp:2027-12-01
Imipenem | Qty:50 | Price:110 | Exp:2027-09-15
InsulinActrapid | Qty:80 | Price:45 | Exp:2027-08-31
InsulinMixtard | Qty:80 | Price:50 | Exp:2027-09-30
Ketoconazole | Qty:100 | Price:7 | Exp:2027-09-30
Lactulose | Qty:150 | Price:6.5 | Exp:2027-12-01
Latanoprost | Qty:80 | Price:35 | Exp:2027-11-30
Levetiracetam | Qty:120 | Price:18 | Exp:2027-11-01
Levothyroxine | Qty:200 | Price:5 | Exp:2027-10-25
Linezolid | Qty:70 | Price:95 | Exp:2027-12-15
Lisinopril | Qty:250 | Price:5.5 | Exp:2027-12-20
Loperamide | Qty:200 | Price:2.5 | Exp:2027-12-31
Loratadine | Qty:300 | Price:3 | Exp:2027-12-20
Lorazepam | Qty:80 | Price:12 | Exp:2027-11-15
Losartan | Qty:350 | Price:8 | Exp:2027-12-01
MagnesiumOxide | Qty:180 | Price:4.5 | Exp:2027-11-01
Mebendazole | Qty:220 | Price:3 | Exp:2027-10-30
Meloxicam | Qty:220 | Price:5.5 | Exp:2027-12-31
Meropenem | Qty:50 | Price:120 | Exp:2027-08-15
Metformin | Qty:500 | Price:3.5 | Exp:2028-01-31
Methotrexate | Qty:80 | Price:18 | Exp:2027-12-01
Metronidazole | Qty:220 | Price:4.5 | Exp:2028-01-15
Miconazole | Qty:180 | Price:4.5 | Exp:2027-10-31
Mometasone | Qty:100 | Price:18 | Exp:2027-10-31
Montelukast | Qty:120 | Price:11 | Exp:2027-12-31
Multivitamin | Qty:220 | Price:5.5 | Exp:2028-01-01
Naproxen | Qty:250 | Price:4.5 | Exp:2027-10-20
Nystatin | Qty:150 | Price:5 | Exp:2027-12-15
Olanzapine | Qty:100 | Price:15 | Exp:2027-12-15
Omeprazole | Qty:250 | Price:7.5 | Exp:2027-11-15
Ondansetron | Qty:150 | Price:8.5 | Exp:2027-11-30
ORS | Qty:500 | Price:1.5 | Exp:2028-01-31
Pantoprazole | Qty:200 | Price:8 | Exp:2027-12-15
Paracetamol | Qty:500 | Price:2.5 | Exp:2027-12-31
Phenylephrine | Qty:150 | Price:5.5 | Exp:2027-11-15
Phenytoin | Qty:150 | Price:6.5 | Exp:2027-09-15
PovidoneIodine | Qty:200 | Price:3.5 | Exp:2027-12-31
Prednisolone | Qty:200 | Price:5 | Exp:2027-09-15
Pregabalin | Qty:150 | Price:16 | Exp:2027-10-31
Pseudoephedrine | Qty:120 | Price:6 | Exp:2027-12-01
Quinine | Qty:120 | Price:8 | Exp:2027-09-15
Ranitidine | Qty:180 | Price:4 | Exp:2027-08-31
Risperidone | Qty:120 | Price:12 | Exp:2027-11-15
Rivaroxaban | Qty:80 | Price:60 | Exp:2027-11-30
Rosuvastatin | Qty:180 | Price:15 | Exp:2027-11-15
Salbutamol | Qty:150 | Price:6.5 | Exp:2027-11-10
Sertraline | Qty:200 | Price:10 | Exp:2027-11-20
Simvastatin | Qty:250 | Price:8.5 | Exp:2027-12-15
SodiumValproate | Qty:150 | Price:10 | Exp:2027-12-01
Spironolactone | Qty:180 | Price:4.5 | Exp:2027-09-30
Sulfasalazine | Qty:150 | Price:14 | Exp:2027-11-15
Tetracycline | Qty:180 | Price:5.5 | Exp:2027-09-20
Terbinafine | Qty:120 | Price:11 | Exp:2027-11-30
Timolol | Qty:150 | Price:9.5 | Exp:2027-10-31
Tramadol | Qty:120 | Price:9 | Exp:2027-11-20
Valsartan | Qty:250 | Price:10 | Exp:2027-10-20
Vancomycin | Qty:60 | Price:75 | Exp:2027-12-31
Venlafaxine | Qty:100 | Price:13.5 | Exp:2027-12-15
VitaminBComplex | Qty:300 | Price:4 | Exp:2027-11-30
VitaminC | Qty:400 | Price:2 | Exp:2028-02-28
VitaminD3 | Qty:250 | Price:5.5 | Exp:2027-12-15
Warfarin | Qty:120 | Price:7.5 | Exp:2027-09-01
ZincSulphate | Qty:300 | Price:2.5 | Exp:2027-12-31


--- SALES ---
TOTAL SALES: 1
REVENUE: 120
panadol | Qty:4 | Total:120 | Date:2026-06-14T19:03:43.270Z
